net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
2,rand_st,none,0.02,100,1.0,17.0,533.1589252525254,0.05581937017231135,0.948929292929293,98.36008230452676,216.0,93.056,99.0,0.0,1.0,0,0.0,1.0
3,rand_st,none,0.02,99,0.99,16.0,532.6119673469387,0.05888775510204081,0.942204081632653,104.74207188160676,212.0,92.664,98.0,0.0,1.0,0,0.0,1.0
4,rand_st,none,0.02,100,1.0,16.0,534.1297616161615,0.060621212121212124,0.969939393939394,149.2304609218437,311.0,92.976,99.0,0.0,1.0,0,0.0,1.0
5,rand_st,none,0.02,97,0.97,17.0,532.4836208333334,0.054958333333333345,0.9342916666666667,121.21503131524008,211.0,90.308,96.0,0.0,1.0,0,0.0,1.0
6,rand_st,none,0.02,100,1.0,19.0,534.6859515151516,0.051668261562998405,0.9816969696969697,114.1775147928994,308.0,92.812,99.0,0.0,1.0,0,0.0,1.0
7,rand_st,none,0.02,100,1.0,15.0,532.0548282828285,0.06174814814814815,0.9262222222222222,85.53093812375249,213.0,93.304,99.0,0.0,1.0,0,0.0,1.0
8,rand_st,none,0.02,100,1.0,21.0,530.702888888889,0.042891774891774884,0.9007272727272727,58.535353535353536,121.0,93.828,99.0,0.0,1.0,0,0.0,1.0
9,rand_st,none,0.02,100,1.0,18.0,532.2820363636364,0.05185185185185185,0.9333333333333333,77.53614457831326,210.0,93.6,99.0,0.0,1.0,0,0.0,1.0
10,rand_st,none,0.02,100,1.0,17.0,535.3336929292931,0.05842661913250149,0.9932525252525253,108.05010438413362,212.0,92.668,99.0,0.0,1.0,0,0.0,1.0
11,rand_st,none,0.02,100,1.0,19.0,532.9447272727273,0.050079744816586926,0.9515151515151515,111.06550218340611,302.0,93.8,99.0,0.0,1.0,0,0.0,1.0
12,rand_st,none,0.02,100,1.0,18.0,532.6416282828284,0.05237485970819304,0.9427474747474748,106.36971046770601,302.0,93.668,99.0,0.0,1.0,0,0.0,1.0
13,rand_st,none,0.02,100,1.0,15.0,533.1017535353536,0.06287946127946129,0.9431919191919191,137.45669291338584,308.0,92.624,99.0,0.0,1.0,0,0.0,1.0
14,rand_st,none,0.02,100,1.0,17.0,533.2471878787879,0.056202020202020204,0.9554343434343434,84.35490196078432,201.0,93.412,99.0,0.0,1.0,0,0.0,1.0
15,rand_st,none,0.02,100,1.0,15.0,532.8768,0.06272323232323233,0.9408484848484848,99.24271844660194,214.0,92.856,99.0,0.0,1.0,0,0.0,1.0
16,rand_st,none,0.02,82,0.82,16.0,534.3676987654321,0.061342592592592594,0.9814814814814815,108.23298429319372,213.0,76.5,81.0,0.0,1.0,0,0.0,1.0
17,rand_st,none,0.02,97,0.97,20.0,532.5813291666667,0.04703958333333334,0.9407916666666667,113.32334047109208,303.0,90.684,96.0,0.0,1.0,0,0.0,1.0
18,rand_st,none,0.02,100,1.0,14.0,532.4526343434344,0.06686580086580088,0.936121212121212,108.40657084188912,213.0,93.324,99.0,0.0,1.0,0,0.0,1.0
19,rand_st,none,0.02,100,1.0,16.0,533.3843393939394,0.05981313131313131,0.957010101010101,115.34552845528455,208.0,93.256,99.0,0.0,1.0,0,0.0,1.0
20,rand_st,none,0.02,100,1.0,16.0,534.8090747474747,0.061141414141414135,0.9782626262626262,90.72043010752688,212.0,92.152,99.0,0.0,1.0,0,0.0,1.0
21,rand_st,none,0.02,100,1.0,15.0,535.7412767676768,0.06654814814814816,0.9982222222222222,152.98622047244095,307.0,92.176,99.0,0.0,1.0,0,0.0,1.0
22,rand_st,none,0.02,97,0.97,15.0,533.8054333333333,0.06467222222222221,0.9700833333333333,100.15765765765765,210.0,90.872,96.0,0.0,1.0,0,0.0,1.0
23,rand_st,none,0.02,97,0.97,14.0,535.6428041666667,0.07153869047619048,1.0015416666666668,90.95560253699789,209.0,89.852,96.0,0.0,1.0,0,0.0,1.0
24,rand_st,none,0.02,100,1.0,15.0,534.5321777777779,0.06567003367003366,0.9850505050505051,108.68647540983606,301.0,93.48,99.0,0.0,1.0,0,0.0,1.0
25,rand_st,none,0.02,99,0.99,14.0,532.2441306122449,0.06699125364431487,0.9378775510204082,79.09287257019439,207.0,93.088,98.0,0.0,1.0,0,0.0,1.0
26,rand_st,none,0.02,100,1.0,18.0,532.7089979797981,0.052725028058361385,0.949050505050505,101.03547671840354,211.0,94.044,99.0,0.0,1.0,0,0.0,1.0
27,rand_st,none,0.02,100,1.0,16.0,532.9058545454546,0.058820707070707065,0.941131313131313,95.09306930693069,206.0,92.828,99.0,0.0,1.0,0,0.0,1.0
28,rand_st,none,0.02,100,1.0,16.0,531.6466262626263,0.05759090909090909,0.9214545454545454,85.23478260869565,216.0,93.776,99.0,0.0,1.0,0,0.0,1.0
29,rand_st,none,0.02,100,1.0,14.0,533.3213010101011,0.06865223665223666,0.9611313131313132,114.73741794310722,206.0,93.848,99.0,0.0,1.0,0,0.0,1.0
30,rand_st,none,0.02,93,0.93,19.0,536.6264608695653,0.054109839816933646,1.028086956521739,95.7866108786611,215.0,86.416,92.0,0.0,1.0,0,0.0,1.0
31,rand_st,none,0.02,100,1.0,16.0,533.8888242424243,0.06046969696969697,0.9675151515151516,109.02713987473904,304.0,93.216,99.0,0.0,1.0,0,0.0,1.0
32,rand_st,none,0.02,100,1.0,19.0,533.2350545454547,0.05026262626262627,0.9549898989898989,78.07006369426752,207.0,93.456,99.0,0.0,1.0,0,0.0,1.0
33,rand_st,none,0.02,100,1.0,14.0,535.6774222222222,0.07131313131313131,0.9983838383838384,161.51945525291828,304.0,92.16,99.0,0.0,1.0,0,0.0,1.0
34,rand_st,none,0.02,100,1.0,15.0,535.0713454545455,0.06576700336700336,0.9865050505050506,108.23177570093458,207.0,92.336,99.0,0.0,1.0,0,0.0,1.0
35,rand_st,none,0.02,100,1.0,22.0,528.6079797979799,0.038929292929292925,0.8564444444444445,58.0,204.5999999999999,94.212,99.0,0.0,1.0,0,0.0,1.0
36,rand_st,none,0.02,97,0.97,17.0,532.061675,0.054676470588235306,0.9295,87.56512605042016,215.0,90.768,96.0,0.0,1.0,0,0.0,1.0
37,rand_st,none,0.02,96,0.96,15.0,534.9835031578948,0.06588070175438597,0.9882105263157893,151.75160599571734,302.0,89.12,95.0,0.0,1.0,0,0.0,1.0
