net,traffic,scheme,lam,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
2,steady,dbaps,1.0,13.0,528.3792484848485,0.040681481481481485,0.6907878787878787,61.51806478405316,120.0,34.572,55.46,0.5034727964279808,0.5133079847908745,0,0.45099667774086377,1.0
3,steady,dbaps,1.0,10.5,525.9087755102041,0.04094331065759638,0.6498367346938776,61.59793024147183,118.0,32.316,51.5,0.503386925650861,0.5110755270883374,0,0.4743196627060176,1.0
4,steady,dbaps,1.0,12.0,530.7596404040405,0.05094864433811802,0.7302222222222223,58.133308228205614,119.0,34.524,56.408,0.503035143769968,0.5101876675603217,0,0.43005083788363774,1.0
5,steady,dbaps,1.0,12.044,525.5880375,0.038108625730994154,0.6475833333333334,58.775268581451435,119.0,33.572,52.12,0.5033076923076923,0.5132307692307693,0,0.4549440912080684,1.0
6,steady,dbaps,1.0,13.0,527.7657252525254,0.03814333814333814,0.6846464646464646,63.318757419865456,121.0,34.22,54.0,0.5026768332251784,0.5104035308953342,0,0.46359319351009104,1.0
7,steady,dbaps,1.0,11.5,527.9904646464647,0.04716004489337823,0.6846868686868687,57.99598393574297,118.0,34.716,55.5,0.5034981526609543,0.512609804477189,0,0.4348302300109529,1.0
8,steady,dbaps,1.0,13.776,524.5738868686868,0.03486562595653505,0.636888888888889,62.678440366972474,122.0,37.044,55.048,0.5027287319422151,0.5121863799283154,0,0.4525229357798165,1.0
9,steady,dbaps,1.0,13.712,526.3306949494951,0.036964886964886964,0.6623030303030303,61.264899161568096,121.0,36.328,54.948,0.5027480916030534,0.5124137931034483,0,0.44142306820756855,1.0
10,steady,dbaps,1.0,14.5,530.3278545454546,0.038905680178407454,0.7200808080808081,60.937874975808015,122.0,33.212,54.5,0.5034561336878086,0.5126917712691771,0,0.44339074898393654,1.0
11,steady,dbaps,1.0,13.5,528.3464444444445,0.037900091827364556,0.6890101010101011,62.42758877114705,122.0,32.788,54.0,0.502928801254022,0.5105060668836934,0,0.4525004647704034,1.0
12,steady,dbaps,1.0,12.888,529.9166060606061,0.04679972658920028,0.7186666666666668,56.94864420706656,119.0,35.076,56.612,0.502745995423341,0.5114649681528662,0,0.41433853738701726,1.0
13,steady,dbaps,1.0,12.0,526.6010868686869,0.04218630751964085,0.6648888888888889,58.33999176276771,118.0,34.676,54.0,0.5027607593979275,0.5120501815780786,0,0.44357495881383857,1.0
14,steady,dbaps,1.0,12.0,527.1005656565657,0.04395510662177328,0.6791111111111111,58.17802385008518,118.0,36.268,55.5,0.5032038909905041,0.5125872004852896,0,0.43611584327086883,1.0
15,steady,dbaps,1.0,12.108,526.5180767676767,0.04318999518999519,0.6679595959595959,56.57866666666666,118.0,36.48,55.608,0.5032810499359796,0.5136484687083888,0,0.41733333333333333,1.0
16,steady,dbaps,1.0,13.0,529.6796197530865,0.04227160493827161,0.7147654320987653,60.47563917028461,120.0,28.132,45.528,0.5034461787958646,0.5117891816920943,0,0.44597202122527735,1.0
17,steady,dbaps,1.0,12.5,527.9334208333333,0.04005208333333333,0.6815416666666667,59.653685092127304,119.0,32.104,52.516,0.503524153343648,0.5131578947368421,0,0.455820770519263,1.0
18,steady,dbaps,1.0,14.0,527.6675717171718,0.038334343434343436,0.6838383838383838,60.63952071486596,120.0,36.3,56.5,0.5029519706398596,0.5115049751243781,0,0.44902518277822906,1.0
19,steady,dbaps,1.0,11.5,527.6292565656566,0.044034024455077085,0.6802828282828283,60.15606121627064,119.0,33.652,54.0,0.5035330014453188,0.5124083474337281,0,0.450463149416029,1.0
20,steady,dbaps,1.0,12.0,530.5324404040405,0.04736700336700336,0.7229090909090908,59.65076980848667,118.0,33.932,56.0,0.5031847133757962,0.5109813733666945,0,0.4444235824258355,1.0
21,steady,dbaps,1.0,12.0,531.7296848484848,0.049694725028058356,0.7427474747474748,59.07173628020229,118.0,32.968,55.5,0.5035541195476575,0.5121546961325967,0,0.4455890616220266,1.0
22,steady,dbaps,1.0,11.596,530.2558958333334,0.05070115546218487,0.7248333333333333,55.963006230529594,116.0,33.608,54.596,0.5033107299561228,0.511976911976912,0,0.42017133956386293,1.0
23,steady,dbaps,1.0,13.0,531.0443500000001,0.04606923558897243,0.7384583333333332,57.61487739542551,119.0,33.444,54.668,0.5032078338679723,0.5130853994490359,0,0.4141767978569957,1.0
24,steady,dbaps,1.0,11.952,529.4680606060607,0.046167901234567904,0.7136565656565655,60.49381698268755,118.0,34.752,55.452,0.503893951946976,0.5137026239067055,0,0.4517724649629019,1.0
25,steady,dbaps,1.0,12.5,526.9356081632654,0.041073534175574994,0.6715918367346938,58.121386138613865,117.0,34.712,54.264,0.5039993601023837,0.5153940886699507,0,0.4425742574257426,1.0
26,steady,dbaps,1.0,14.0,528.6145010101011,0.038182828282828284,0.6945050505050506,58.64445709946849,119.0,34.096,55.676,0.5026951834463571,0.5088622069754145,0,0.43659832953682615,1.0
27,steady,dbaps,1.0,12.5,530.0222343434344,0.043147616516037574,0.7078383838383838,59.40217588395286,119.0,32.424,55.5,0.5035124841303428,0.5112618724559023,0,0.45693563009972804,1.0
28,steady,dbaps,1.0,11.5,526.347402020202,0.04327362514029181,0.6592727272727272,56.99100939926441,118.0,34.232,54.0,0.5033660914648301,0.5141371465713357,0,0.4321618308132407,1.0
29,steady,dbaps,1.0,12.0,527.0883313131313,0.04074971941638608,0.6731313131313131,61.652618135376756,118.0,34.36,54.0,0.5024904532624938,0.5093632958801498,0,0.46934865900383144,1.0
30,steady,dbaps,1.0,11.136,527.8799869565219,0.043974256292906175,0.6916086956521739,63.25583266291231,119.0,31.368,48.748,0.5035540292308921,0.5137813564571074,0,0.46319388576025744,1.0
31,steady,dbaps,1.0,12.0,529.1613494949497,0.048380273321449785,0.7121616161616162,56.6344960410871,117.0,35.996,56.5,0.5032342522716772,0.5139349701393497,0,0.4228546971966617,1.0
32,steady,dbaps,1.0,12.96,527.3597171717172,0.03993670033670033,0.6806868686868688,60.36494845360825,120.0,35.32,55.104,0.5026924535456959,0.5115823817292007,0,0.44742268041237115,1.0
33,steady,dbaps,1.0,13.0,529.2288161616162,0.0415462899673426,0.7072323232323232,60.70710536939846,119.0,34.484,55.5,0.5030395136778115,0.5138282387190685,0,0.44691158659668956,1.0
34,steady,dbaps,1.0,12.264,528.0207717171719,0.04551899951899952,0.6983838383838384,56.69371282922685,118.0,36.832,56.236,0.5029027576197388,0.5138568129330254,0,0.4205607476635514,1.0
35,steady,dbaps,1.0,15.0,524.4688808080809,0.03199326599326599,0.6282020202020202,61.679867986798676,124.0,36.1,55.396,0.5034609655655831,0.5139231582657737,0,0.4407040704070407,1.0
36,steady,dbaps,1.0,13.5,526.1774333333334,0.03680357142857143,0.661,62.598270771826236,121.0,35.044,53.5,0.5042603202585574,0.5159515951595159,0,0.4559257697174188,1.0
37,steady,dbaps,1.0,13.5,528.9387031578948,0.039334335839599,0.7018105263157896,60.84161427702291,121.0,32.328,52.0,0.5032094747310369,0.5132019338043883,0,0.4382478199148246,1.0
38,steady,dbaps,1.0,11.46,527.4609212121214,0.04471927114280056,0.6850909090909091,61.04816039685821,117.0,35.756,54.54,0.5032919920379727,0.5125072716695753,0,0.46548160396858207,1.0
39,steady,dbaps,1.0,11.688,526.9928444444444,0.04281903242955874,0.6728888888888889,59.906853384256316,119.0,34.604,54.36,0.5027766266058847,0.5105180533751962,0,0.4487587523870146,1.0
40,steady,dbaps,1.0,11.544,529.6511434343436,0.04750707070707071,0.7164444444444443,61.40591836734694,118.0,34.852,55.14,0.5036019433740995,0.5129830917874396,0,0.45653061224489794,1.0
41,steady,dbaps,1.0,12.0,528.0149050505051,0.04311026049973419,0.6876363636363637,61.146116241173274,119.0,33.924,54.0,0.5036680602666246,0.5139933794763768,0,0.44975556762629004,1.0
42,steady,dbaps,1.0,11.0,528.4478262626263,0.04710160427807487,0.6926060606060606,60.471379011274934,117.0,33.932,54.0,0.5033672670321065,0.513312693498452,0,0.45555073720728534,1.0
43,steady,dbaps,1.0,12.0,526.7390568421054,0.04019368421052631,0.6666105263157894,59.86616441391536,120.0,32.672,51.0,0.5029733499743044,0.511985794613791,0,0.45778861068025706,1.0
44,steady,dbaps,1.0,12.0,526.2139232323233,0.04043551302498671,0.660121212121212,60.779097387173394,119.0,35.188,54.02,0.5032015065913371,0.5131782945736434,0,0.4489311163895487,1.0
45,steady,dbaps,1.0,12.0,529.8733050505051,0.049173414820473646,0.7262222222222223,56.47839569981394,117.0,36.104,56.5,0.5025094587290557,0.5106592325352575,0,0.4207153194128592,1.0
46,steady,dbaps,1.0,12.0,528.8358530612246,0.04335682062298604,0.7006938775510205,61.69135316131574,119.0,33.388,54.028,0.5032646911099949,0.5109735509285313,0,0.46011424069332285,1.0
47,steady,dbaps,1.0,12.892,527.322096969697,0.04229761271866535,0.6755151515151515,57.056963268513066,119.0,36.024,56.7,0.5027584204413472,0.5102040816326531,0,0.42349243763504224,1.0
48,steady,dbaps,1.0,11.5,527.6576897959183,0.044878911564625854,0.6761224489795918,58.96131122546217,118.0,33.24,54.0,0.5029244583573605,0.5105623326390956,0,0.4434915189632171,1.0
49,steady,dbaps,1.0,11.384,524.64418989899,0.04050707070707071,0.6362424242424243,61.18467881944444,118.0,35.78,53.384,0.502588438308887,0.5116429495472187,0,0.4650607638888889,1.0
