net,k,p,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
36,5,0.1,11.324,518.3983708333334,0.04364114612239612,0.495,157.3347039473684,410.0,19.9,37.224,0.7556993222427604,0.33286451007969997,0,0.6048519736842105,1.0
37,5,0.1,11.788,521.7496505263159,0.04667816382447961,0.5515789473684211,150.64059196617336,411.0,20.152,38.296,0.7558263224059568,0.3329422117923145,0,0.6076109936575053,1.0
38,5,0.1,10.152,519.038395959596,0.05007588169406351,0.5084848484848485,156.1544448996313,409.0,20.408,37.732,0.7570318134465903,0.337229544889331,0,0.6128635804997952,1.0
39,5,0.1,10.752,518.6887959595961,0.04687219929341141,0.5026666666666666,152.02178380600083,409.0,21.524,39.184,0.7580003459609064,0.33731019522776573,0,0.6115906288532675,1.0
40,5,0.1,10.416,521.5145454545456,0.05258715246594035,0.5475959595959596,154.85913806863527,410.0,20.62,39.244,0.7549053959355291,0.33072509128847155,0,0.5977653631284916,1.0
41,5,0.1,10.58,519.0687878787879,0.04767533319654532,0.5062626262626263,163.77612556794713,410.0,20.084,37.88,0.7540187541862022,0.3286489151873767,0,0.6278397356464271,1.0
42,5,0.1,10.524,521.3146020202021,0.0517132806587352,0.5452929292929294,152.7409368635438,410.0,21.068,39.7,0.7574383911645924,0.3351435221101629,0,0.5914460285132382,1.0
43,5,0.1,10.24,520.5666273684211,0.05184678082151766,0.5313263157894738,153.49978175469226,410.0,20.04,37.888,0.7568807339449541,0.33373610439826,0,0.5949367088607594,1.0
44,5,0.1,10.7,518.9137777777778,0.04736493271038726,0.5066262626262626,155.6526013928718,410.0,21.508,39.092,0.7558420628525383,0.34009779951100244,0,0.6087668988119623,1.0
45,5,0.1,10.396,521.477793939394,0.05253309003005972,0.5478787878787879,156.90294483616756,410.0,20.892,39.788,0.7557607520173031,0.3340035184719779,0,0.6105350476980506,1.0
46,5,0.1,11.052,520.0210693877552,0.04733700279312524,0.5241224489795918,157.09837398373983,410.0,20.976,39.152,0.7533651758575771,0.3312421580928482,0,0.6065040650406504,1.0
47,5,0.1,11.164,519.9895070707072,0.04662507077658593,0.5203636363636364,147.43541064795707,409.0,21.516,40.376,0.7583902695397552,0.33723989476201865,0,0.5872884853487412,1.0
48,5,0.1,10.544,518.0608081632654,0.04672926110171008,0.49138775510204086,155.4821138211382,410.0,20.932,38.044,0.7542921231990337,0.3302634944998721,0,0.6142276422764228,1.0
49,5,0.1,11.1,519.0380808080808,0.04555646048676352,0.5063434343434344,154.53920335429768,409.0,21.152,39.14,0.7572173371722045,0.3379127500602555,0,0.6025157232704402,1.0
0,6,0.0,3.192,496.5605714285715,0.008030075187969924,0.15257142857142855,nan,nan,16.464,16.464,0.832,nan,0,nan,nan
1,6,0.0,3.024,496.6402424242425,0.00857912457912458,0.15442424242424244,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
2,6,0.0,3.36,496.4213333333334,0.007466666666666667,0.14933333333333335,nan,nan,16.632,16.632,0.832,nan,0,nan,nan
