net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
11,static,none,0.02,100,1.0,22.0,532.9747797979799,0.04326905417814508,0.9519191919191919,17.47608695652174,22.0,93.76,99.0,0.0,1.0,0,0.0,1.0
12,static,none,0.02,100,1.0,19.0,532.4368686868688,0.049490696438064856,0.9403232323232323,16.251121076233183,19.0,93.908,99.0,0.0,1.0,0,0.0,1.0
13,static,none,0.02,100,1.0,18.0,533.1053656565656,0.05240852974186307,0.9433535353535354,14.608267716535433,18.0,92.608,99.0,0.0,1.0,0,0.0,1.0
14,static,none,0.02,100,1.0,18.0,533.3934787878787,0.053171717171717175,0.9570909090909091,15.335907335907336,18.0,93.248,99.0,0.0,1.0,0,0.0,1.0
15,static,none,0.02,100,1.0,18.0,532.65898989899,0.05213019079685746,0.9383434343434344,15.521484375,18.0,93.104,99.0,0.0,1.0,0,0.0,1.0
16,static,none,0.02,82,0.82,20.0,534.46947654321,0.04913333333333333,0.9826666666666667,16.58839050131926,20.0,76.404,81.0,0.0,1.0,0,0.0,1.0
17,static,none,0.02,97,0.97,20.0,532.5914125,0.047039583333333336,0.9407916666666667,14.782051282051283,20.0,90.684,96.0,0.0,1.0,0,0.0,1.0
18,static,none,0.02,100,1.0,20.0,532.345793939394,0.04672727272727272,0.9345454545454545,15.875510204081632,20.0,93.48,99.0,0.0,1.0,0,0.0,1.0
19,static,none,0.02,100,1.0,19.0,533.2021090909092,0.050254120148856996,0.9548282828282828,15.961224489795919,19.0,93.472,99.0,0.0,1.0,0,0.0,1.0
20,static,none,0.02,100,1.0,18.0,534.754197979798,0.05430751964085297,0.9775353535353535,15.518783542039357,18.0,92.224,99.0,0.0,1.0,0,0.0,1.0
21,static,none,0.02,100,1.0,18.0,535.9933696969697,0.05561616161616162,1.0010909090909093,15.23015873015873,18.0,91.892,99.0,0.0,1.0,0,0.0,1.0
22,static,none,0.02,97,0.97,17.0,533.7902875000001,0.057056372549019616,0.9699583333333333,14.840449438202247,17.0,90.884,96.0,0.0,1.0,0,0.0,1.0
23,static,none,0.02,97,0.97,19.0,535.8152750000002,0.052833333333333336,1.0038333333333334,17.25,19.0,89.632,96.0,0.0,1.0,0,0.0,1.0
24,static,none,0.02,100,1.0,18.0,534.6595313131313,0.05480583613916947,0.9865050505050503,16.045081967213115,18.0,93.336,99.0,0.0,1.0,0,0.0,1.0
25,static,none,0.02,99,0.99,18.0,532.3259346938776,0.05215419501133787,0.9387755102040817,14.086021505376344,18.0,93.0,98.0,0.0,1.0,0,0.0,1.0
26,static,none,0.02,100,1.0,20.0,532.869995959596,0.04754747474747474,0.9509494949494949,16.112334801762113,20.0,93.856,99.0,0.0,1.0,0,0.0,1.0
27,static,none,0.02,100,1.0,19.0,533.0237292929293,0.049601275917065396,0.9424242424242424,14.287698412698413,19.0,92.7,99.0,0.0,1.0,0,0.0,1.0
28,static,none,0.02,100,1.0,18.0,531.5277535353536,0.05111335578002245,0.9200404040404041,14.907327586206897,18.0,93.916,99.0,0.0,1.0,0,0.0,1.0
29,static,none,0.02,100,1.0,18.0,533.4369010101011,0.0534702581369248,0.9624646464646465,15.030368763557483,18.0,93.716,99.0,0.0,1.0,0,0.0,1.0
