net,scheme,overhead,p,nodes,reachable,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
21,bsps,ack,0.02,100,1.0,13.504,582.4939070707071,0.046891522114249386,0.6316767676767676,51.12301587301587,114.0,53.384,60.472,0.49493907549481014,0.6707566462167689,0,0.39285714285714285,1.0
22,bsps,ack,0.02,97,0.97,13.192,581.5018375000002,0.04539031385281385,0.599875,49.26741573033708,113.0,53.456,58.548,0.4952509305609036,0.6650717703349283,0,0.38202247191011235,1.0
23,bsps,ack,0.02,97,0.97,14.42,582.7140958333334,0.043916975732600734,0.6342916666666666,45.2521186440678,115.0,53.496,59.708,0.49557460450205587,0.683291770573566,0,0.326271186440678,1.0
24,bsps,ack,0.02,100,1.0,13.252,581.3295797979799,0.045177201922656465,0.5981010101010101,49.52663934426229,113.0,53.996,59.608,0.49524885374443484,0.6784922394678492,0,0.3831967213114754,1.0
25,bsps,ack,0.02,99,0.99,14.044,580.4404244897959,0.04099196915529448,0.5742857142857142,50.62150537634409,114.0,54.78,59.724,0.4953325935113258,0.6612529002320185,0,0.3978494623655914,1.0
26,bsps,ack,0.02,100,1.0,15.504,580.3637737373738,0.03699020797648249,0.5736161616161617,53.151982378854626,116.0,55.116,60.228,0.49533479692645443,0.6745283018867925,0,0.4118942731277533,1.0
27,bsps,ack,0.02,100,1.0,13.308,581.5264888888888,0.04566201475292385,0.6069494949494949,44.40079365079365,113.0,56.428,62.716,0.4950817493021401,0.6828193832599119,0,0.3392857142857143,1.0
28,bsps,ack,0.02,100,1.0,13.588,579.8000161616162,0.041265666992939716,0.559878787878788,47.28448275862069,114.0,54.796,59.86,0.49540989921037426,0.6761229314420804,0,0.3620689655172414,1.0
29,bsps,ack,0.02,100,1.0,14.012,581.4520282828285,0.04286444666444666,0.5996767676767677,52.92407809110629,114.0,56.7,61.976,0.4948015122873346,0.6529680365296804,0,0.41865509761388287,1.0
30,bsps,ack,0.02,93,0.93,12.696,582.9496695652175,0.05031737175867611,0.6369130434782607,47.82142857142857,114.0,50.54,56.068,0.4949905048785279,0.6868475991649269,0,0.36134453781512604,1.0
31,bsps,ack,0.02,100,1.0,12.84,581.0627272727273,0.046100083081901264,0.5907070707070706,50.514583333333334,113.0,54.952,60.372,0.49533792039097163,0.6592427616926503,0,0.3958333333333333,1.0
