net,scheme,p,frame_len,latency,latency_p95,service
32,bsps,0.2,15.656,17.03086790940068,31.0,0.6946440992348714
33,bsps,0.2,15.512,17.167556468172485,30.0,0.6994466800804829
34,bsps,0.2,14.58,17.086626746506987,29.0,0.6894333085869834
35,bsps,0.2,19.336,20.43997574777688,38.0,0.6925720327782183
36,bsps,0.2,15.984,18.096339501206756,32.0,0.6989894646312621
37,bsps,0.2,16.664,18.796610169491526,33.0,0.6901749663526245
38,bsps,0.2,14.088,16.560216780409473,28.0,0.6891402714932127
39,bsps,0.2,14.856,16.231699939503933,29.0,0.6983337478239244
40,bsps,0.2,14.56,17.024803387779794,30.0,0.6932153392330384
41,bsps,0.2,14.716,17.110524177163754,29.0,0.6882775119617225
42,bsps,0.2,14.16,16.161054172767205,28.0,0.7
43,bsps,0.2,14.492,15.78625472887768,29.0,0.6911600979737252
44,bsps,0.2,15.076,16.988882150798464,30.0,0.694514574248336
45,bsps,0.2,14.024,16.055500099820325,28.0,0.691670610506389
46,bsps,0.2,15.592,17.97191722972973,31.0,0.6939177542477223
47,bsps,0.2,14.936,16.330369771671045,29.599999999999454,0.6947923533289387
48,bsps,0.2,15.052,16.944583856127142,30.0,0.6950948977076657
49,bsps,0.2,14.872,16.521042907000616,29.0,0.6935264825712992
0,baps,0.2,12.724,17.08766956873861,25.0,0.6423810618248679
1,baps,0.2,12.5,18.517020837631524,25.0,0.6384576865297947
2,baps,0.2,14.0,19.220226079935404,28.0,0.6399352900392882
3,baps,0.2,12.5,16.552663934426228,25.0,0.6475483580746738
4,baps,0.2,12.5,17.74631982254487,25.0,0.6457032091320267
5,baps,0.2,14.0,17.027801179443976,28.0,0.6386757290067967
6,baps,0.2,13.512,19.104262557534522,27.0,0.6388700564971751
7,baps,0.2,11.664,16.95726149483492,23.0,0.6362852833441068
8,baps,0.2,14.5,20.18216896831844,29.0,0.6379391100702576
9,baps,0.2,13.0,19.49120294599018,26.0,0.6412606168976308
10,baps,0.2,14.5,19.228102189781023,29.0,0.6449968132568515
11,baps,0.2,14.5,20.076329679252943,29.0,0.6451987909788421
12,baps,0.2,12.5,17.77120669056153,25.0,0.6359761295822677
13,baps,0.2,12.568,16.846559772681143,25.0,0.642350332594235
14,baps,0.2,12.5,17.624154397134898,25.0,0.6426544422615149
15,baps,0.2,12.5,17.774837053130554,25.0,0.6436146707909854
16,baps,0.2,13.0,18.552454522800897,26.0,0.6382328424562378
