net,q,scheme,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
0,0.5,bsps,15.612,541.6188897959183,0.05826464681496273,0.9057551020408163,34.16231946540203,115.0,36.54,66.18,0.4639915178207324,0.7466322728575523,0,0.2155636990730761,1.0
1,0.5,bsps,14.988,546.82138989899,0.06539889921262469,0.9782222222222222,32.95017357565857,115.0,35.304,69.136,0.46313218130824213,0.7450735064122614,0,0.1956299775372677,1.0
2,0.5,bsps,15.716,545.7396161616161,0.06126435872921941,0.9591111111111111,34.3455551003687,115.0,34.852,69.416,0.4627016980653882,0.7386463521828304,0,0.21179844326095862,1.0
3,0.5,bsps,14.524,544.5337428571428,0.06516317900786689,0.9441632653061224,33.063801079414034,114.0,34.812,68.248,0.4581596932822137,0.7496251874062968,0,0.21915959907478796,1.0
4,0.5,bsps,14.212,543.6013050505051,0.06584836637581737,0.9327676767676768,35.09812592124658,114.0,36.472,67.644,0.460635579687001,0.735373054213634,0,0.23036428721836177,1.0
5,0.5,bsps,15.008,543.3396375,0.061793955514335745,0.9252083333333334,32.35234259062964,114.0,34.74,66.504,0.4653527788726843,0.7531556802244039,0,0.20479118083527667,1.0
6,0.5,bsps,15.368,546.0262181818183,0.06311170258459403,0.9667474747474747,35.03887426604576,115.0,34.632,68.604,0.45930928363822876,0.7485533929510784,0,0.22231220894918,1.0
7,0.5,bsps,13.944,543.0916525252527,0.06609580166318135,0.9184646464646465,33.379363548698166,114.0,35.628,68.164,0.45958485958485956,0.7495586380832282,0,0.21986499517839922,1.0
8,0.5,bsps,17.004,541.4982464646465,0.05287324828212341,0.8962020202020202,34.18207855973814,116.0,36.54,68.556,0.46227137388345385,0.7487839771101573,0,0.20765139116202946,1.0
9,0.5,bsps,15.652,541.4104121212122,0.05768896759892632,0.8988686868686868,35.36942271093255,116.0,37.444,67.528,0.462736193333874,0.749795584627964,0,0.22182279551702264,1.0
10,0.5,bsps,15.896,546.5866464646466,0.06169710293910499,0.9761212121212121,34.23991297468354,116.0,35.452,68.536,0.46156835315147277,0.7453000257532836,0,0.21360759493670886,1.0
11,0.5,bsps,16.648,543.0877494949495,0.05573159277178885,0.9273131313131313,34.781985451433464,116.0,36.612,68.572,0.4645786726323639,0.7490527542990382,0,0.21159606332905434,1.0
12,0.5,bsps,13.964,543.7922787878788,0.06710074628283184,0.9328080808080809,33.27124446234394,113.0,35.624,68.324,0.46007237635705667,0.7420707732634338,0,0.21949254933548126,1.0
13,0.5,bsps,15.048,545.6286303030304,0.06359351857293033,0.9553939393939394,33.23640248640249,114.0,34.64,69.128,0.4601502531438837,0.7534965034965035,0,0.21017871017871018,1.0
14,0.5,bsps,14.236,542.1533212121213,0.06428962333962335,0.9143030303030303,32.62130417172944,114.0,36.856,67.868,0.4637795898978703,0.745233489914341,0,0.21040907249898744,1.0
15,0.5,bsps,14.168,544.4026303030304,0.06678602632265733,0.943030303030303,31.87858851674641,114.0,36.184,69.516,0.46215441672285906,0.7516501650165016,0,0.20135566188197768,1.0
16,0.5,bsps,14.652,544.2410222222223,0.06454348298357013,0.9441975308641974,33.17383945841393,114.0,29.184,55.588,0.46176590538336054,0.7460910944935418,0,0.2122823984526112,1.0
17,0.5,bsps,15.856,545.5876041666668,0.060608394257388065,0.9604583333333333,34.56160639192599,115.0,34.508,68.008,0.4579405691713798,0.7388535031847133,0,0.22056349873843567,1.0
18,0.5,bsps,15.812,543.1752767676768,0.05850029581892327,0.9242828282828283,34.09755085097551,115.0,36.068,68.656,0.46127196238554813,0.7416597739178384,0,0.21959319219593193,1.0
19,0.5,bsps,15.744,544.5467474747475,0.06018166778755014,0.9460202020202021,33.73334639498432,115.0,35.28,68.848,0.46075866579463703,0.7460191082802548,0,0.2106191222570533,1.0
20,0.5,bsps,14.136,545.9315353535353,0.06833293231822644,0.9647676767676768,33.01487922705314,114.0,35.12,68.812,0.4603745808456694,0.7394646170156374,0,0.21217391304347827,1.0
21,0.5,bsps,14.456,545.4846787878788,0.06666934220793401,0.9598787878787878,32.64824327100884,115.0,35.472,67.848,0.46718329906689865,0.7513416815742398,0,0.1995068830901993,1.0
22,0.5,bsps,13.988,542.8367958333334,0.06616468253968254,0.9245833333333334,33.00705882352941,113.0,35.452,65.32,0.4638588046530285,0.7442715700141442,0,0.21240641711229946,1.0
23,0.5,bsps,15.5,547.5974750000001,0.06419638547726783,0.994875,35.39468174204355,115.0,34.328,67.496,0.45933948863636365,0.7392426850258176,0,0.21608040201005024,1.0
24,0.5,bsps,14.44,545.1460888888889,0.06643272947096478,0.9581414141414141,33.91194605009634,114.0,35.368,68.204,0.46094205919132974,0.7358059914407988,0,0.21579961464354527,1.0
25,0.5,bsps,15.024,543.0475020408164,0.06143767188193959,0.922734693877551,32.74438546345447,114.0,35.6,67.48,0.4629736171611737,0.7474183644990232,0,0.20967741935483872,1.0
26,0.5,bsps,16.44,541.9327838383839,0.055568697092381304,0.9119191919191919,32.76680497925311,115.0,36.852,68.124,0.46556380823767723,0.7442893401015228,0,0.2016597510373444,1.0
27,0.5,bsps,14.352,544.6212323232323,0.06589269347210523,0.9432727272727273,31.367998352553542,114.0,35.452,69.136,0.4637070105820106,0.7432432432432432,0,0.2026359143327842,1.0
28,0.5,bsps,14.416,544.5007797979798,0.06507491930727224,0.9367676767676768,32.57753909930281,114.0,34.256,68.564,0.4586397058823529,0.7566964285714286,0,0.20991143772376106,1.0
29,0.5,bsps,15.096,545.5647272727273,0.06397750310691488,0.9648888888888889,31.944881889763778,114.0,35.864,69.768,0.46014118457300274,0.7473858007705009,0,0.19921259842519684,1.0
30,0.5,bsps,13.848,545.2073,0.07016232832523216,0.9661739130434782,33.74952401100064,114.0,33.992,62.94,0.4626275930194271,0.7501388117712382,0,0.2119737677173683,1.0
31,0.5,bsps,13.7,543.635890909091,0.06835871939508303,0.9349898989898989,32.910330992978935,114.0,36.576,68.42,0.4642084168336673,0.7446808510638298,0,0.21063189568706117,1.0
