net,round,scheme,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
14,30,static,18.0,215.8525898989899,0.06981369248035915,1.2566464646464646,15.27616394747314,18.0,63.592,99.0,0.0,1.0,0,0.0,1.0
15,30,static,18.0,216.0443797979798,0.06942312008978675,1.2496161616161616,15.58107841200869,18.0,62.288,99.0,0.0,1.0,0,0.0,1.0
16,30,static,20.0,217.1735012345679,0.0641432098765432,1.2828641975308641,16.585846000498382,20.0,52.088,81.0,0.0,1.0,0,0.0,1.0
17,30,static,20.0,216.79435,0.06310833333333334,1.2621666666666667,14.77291841883936,20.0,59.832,96.0,0.0,1.0,0,0.0,1.0
18,30,static,20.0,215.4005696969697,0.062155555555555554,1.243111111111111,15.855231143552311,20.0,62.932,99.0,0.0,1.0,0,0.0,1.0
19,30,static,19.0,216.45988686868685,0.06658160552897395,1.265050505050505,16.0,19.0,62.76,99.0,0.0,1.0,0,0.0,1.0
20,30,static,18.0,217.13627474747474,0.0706936026936027,1.2724848484848486,15.435685483870968,18.0,63.024,99.0,0.0,1.0,0,0.0,1.0
21,30,static,18.0,218.48361616161617,0.07188103254769922,1.2938585858585858,15.315980629539952,18.0,62.908,99.0,0.0,1.0,0,0.0,1.0
22,30,static,17.0,216.23515416666666,0.07446323529411764,1.265875,14.83006122018155,17.0,62.476,96.0,0.0,1.0,0,0.0,1.0
23,30,static,19.0,219.72194583333334,0.06916885964912281,1.3142083333333332,17.486194727008513,19.0,59.836,96.0,0.0,1.0,0,0.0,1.0
24,30,static,18.0,217.65756363636362,0.07161167227833895,1.2890101010101012,15.995577889447237,18.0,63.388,99.0,0.0,1.0,0,0.0,1.0
25,30,static,18.0,214.89154693877552,0.06890476190476191,1.2402857142857142,14.2731433326399,18.0,63.452,98.0,0.0,1.0,0,0.0,1.0
26,30,static,20.0,215.83505454545457,0.06294949494949495,1.258989898989899,16.042548818088388,20.0,63.36,99.0,0.0,1.0,0,0.0,1.0
27,30,static,19.0,217.1734181818182,0.06639659755449229,1.2615353535353535,14.189714517108726,19.0,61.108,99.0,0.0,1.0,0,0.0,1.0
28,30,static,18.0,214.10502222222223,0.06792143658810326,1.2225858585858587,14.970337261275905,18.0,63.964,99.0,0.0,1.0,0,0.0,1.0
29,30,static,18.0,217.6353616161616,0.0712682379349046,1.2828282828282829,14.942373564376386,18.0,62.0,99.0,0.0,1.0,0,0.0,1.0
30,30,static,19.0,219.0280565217391,0.06939816933638443,1.3185652173913045,17.37028251024369,19.0,59.692,92.0,0.0,1.0,0,0.0,1.0
31,30,static,17.0,216.39594343434342,0.07445276292335118,1.2656969696969698,15.208308126638435,17.0,63.696,99.0,0.0,1.0,0,0.0,1.0
32,30,static,20.0,216.4796808080808,0.06322626262626263,1.2645252525252526,16.649629184205253,20.0,62.812,99.0,0.0,1.0,0,0.0,1.0
33,30,static,19.0,219.252298989899,0.0688654970760234,1.3084444444444443,16.473921971252565,19.0,61.464,99.0,0.0,1.0,0,0.0,1.0
34,30,static,18.0,217.91067474747473,0.07151066217732883,1.2871919191919192,15.792614770459082,18.0,62.568,99.0,0.0,1.0,0,0.0,1.0
35,30,static,24.0,212.01541818181815,0.04903367003367003,1.1768080808080807,18.973928860145513,24.0,62.496,99.0,0.0,1.0,0,0.0,1.0
36,30,static,21.0,213.20225416666665,0.05791865079365081,1.2162916666666668,17.818181818181817,21.0,63.236,96.0,0.0,1.0,0,0.0,1.0
37,30,static,21.0,219.83935157894737,0.062351879699248124,1.3093894736842102,17.45323289391086,21.0,58.608,95.0,0.0,1.0,0,0.0,1.0
38,30,static,17.0,217.1727313131313,0.07541532976827094,1.282060606060606,14.717583299879566,17.0,64.076,99.0,0.0,1.0,0,0.0,1.0
39,30,static,19.0,215.65072727272727,0.06584370015948963,1.251030303030303,15.859245815688647,19.0,63.148,99.0,0.0,1.0,0,0.0,1.0
40,30,static,18.0,218.77326464646464,0.07233894500561168,1.30210101010101,15.923371647509578,18.0,63.092,99.0,0.0,1.0,0,0.0,1.0
41,30,static,19.0,215.37442020202022,0.06597554492291334,1.2535353535353535,16.639983746444535,19.0,64.9,99.0,0.0,1.0,0,0.0,1.0
42,30,static,17.0,217.2909616161616,0.07509685086155675,1.2766464646464646,15.149759464547166,17.0,63.612,99.0,0.0,1.0,0,0.0,1.0
43,30,static,20.0,215.78476631578948,0.06275789473684211,1.255157894736842,15.075872215216478,20.0,61.76,95.0,0.0,1.0,0,0.0,1.0
44,30,static,19.0,214.9328767676768,0.06527804359383307,1.2402828282828284,16.32666262381241,19.0,64.212,99.0,0.0,1.0,0,0.0,1.0
45,30,static,17.0,218.99894141414143,0.07687225193107547,1.3068282828282827,15.138151327610302,17.0,62.624,99.0,0.0,1.0,0,0.0,1.0
46,30,static,19.0,216.3976448979592,0.06692803437164341,1.2716326530612245,16.416173986486488,19.0,63.38,98.0,0.0,1.0,0,0.0,1.0
47,30,static,19.0,212.9672808080808,0.06286868686868687,1.1945050505050505,15.977571226510406,19.0,63.744,99.0,0.0,1.0,0,0.0,1.0
48,30,static,18.0,213.30987346938772,0.06738095238095237,1.2128571428571426,15.048306148055207,18.0,64.14,98.0,0.0,1.0,0,0.0,1.0
49,30,static,18.0,213.54609696969695,0.06749943883277215,1.214989898989899,15.118661465818107,18.0,64.716,99.0,0.0,1.0,0,0.0,1.0
0,30,bsps,15.704,201.88552244897957,0.060883528319752814,0.9513469387755101,22.09779307552136,46.0,35.416,67.868,0.4437716262975779,0.6897374701670644,0,0.31038671795910105,1.0
1,30,bsps,15.008,205.63057777777775,0.06710607765509727,1.0045252525252524,22.257066226531876,46.0,35.008,70.328,0.4450586105022396,0.6915091828586638,0,0.2972972972972973,1.0
2,30,bsps,15.94,203.61564848484846,0.061094221441899466,0.9725252525252526,21.7561566410981,46.0,34.836,70.096,0.44547729710404005,0.7006400787789266,0,0.2823980621719822,1.0
3,30,bsps,14.308,201.3093469387755,0.06591713773421456,0.9410204081632653,20.464344262295082,44.0,35.104,68.128,0.4442556084296397,0.6897448015122873,0,0.30655737704918035,1.0
4,30,bsps,14.584,202.6294303030303,0.06607694074262702,0.9606060606060606,21.858842508570277,45.0,35.568,68.6,0.44258010118043845,0.6881548974943053,0,0.313571284533172,1.0
5,30,bsps,15.268,202.02525,0.06230459266055725,0.9485416666666666,20.93428812131424,45.0,33.988,67.276,0.444816333361225,0.6929518492672715,0,0.30054759898904804,1.0
6,30,bsps,15.296,203.0472727272727,0.06351749959133861,0.9690101010101009,22.027016209725836,45.0,35.224,69.04,0.44398449885502905,0.6939218523878437,0,0.30518310986591957,1.0
7,30,bsps,13.868,199.76739797979798,0.06619158170013785,0.9154343434343434,20.97913712781041,44.0,36.2,68.324,0.4420857552017522,0.6864580954555835,0,0.31962730403078793,1.0
8,30,bsps,17.064,199.2545616161616,0.053298688764891036,0.9074343434343434,22.53310316815597,47.0,36.536,69.112,0.4453138893828917,0.6928071928071928,0,0.2971161657189277,1.0
9,30,bsps,15.768,200.2090505050505,0.05885768517306185,0.9236363636363636,22.76759410801964,46.0,36.612,68.388,0.4437266235974158,0.6848441926345609,0,0.3199672667757774,1.0
10,30,bsps,16.04,204.24867474747472,0.061778182246603294,0.98610101010101,21.920721816707218,47.0,35.44,69.02,0.44585262815825816,0.7009682503940554,0,0.2962287104622871,1.0
11,30,bsps,16.748,201.6278909090909,0.05677055326472251,0.9487676767676768,22.878197320341048,47.0,36.264,69.516,0.4444541714085617,0.6904586705911209,0,0.30105562322371093,1.0
12,30,bsps,14.2,202.13823434343433,0.06711803523274112,0.9511111111111111,20.729191557148546,44.0,35.116,68.992,0.4428896569164629,0.6913608388420333,0,0.30605336519315013,1.0
13,30,bsps,15.04,202.4193494949495,0.063508176609157,0.9541818181818181,20.96001623706109,45.0,35.064,69.348,0.44515859766277127,0.6932084309133489,0,0.29632636492794806,1.0
14,30,bsps,14.18,201.3898262626263,0.06676710315827962,0.9452121212121213,20.58376442499005,44.0,35.908,68.932,0.4434255909817448,0.6928718771487509,0,0.30202944687624356,1.0
15,30,bsps,14.164,202.46170505050503,0.06780973721267838,0.957939393939394,20.501876357890577,44.0,35.86,70.18,0.4417194328012129,0.6941917424772568,0,0.2907367173612483,1.0
16,30,bsps,14.8,202.3324197530864,0.06509081615552204,0.9606913580246912,21.28532270122103,45.0,29.064,56.212,0.44588836812952704,0.6983938132064248,0,0.3017692499377025,1.0
17,30,bsps,15.912,203.04808333333332,0.060851214586711874,0.96725,21.22708158116064,45.25,34.532,68.34,0.44492540062626634,0.6921891058581706,0,0.28973927670311184,1.0
18,30,bsps,15.988,201.48702222222224,0.05907492123936912,0.9430707070707071,21.20559610705596,45.0,35.604,69.38,0.44467442863303147,0.6936221419975933,0,0.29501216545012166,1.0
19,30,bsps,15.836,202.14098989898991,0.060392237319688305,0.9555151515151515,21.459836555710584,45.0,35.432,69.38,0.44423569598633644,0.6995337995337996,0,0.2928044648196133,1.0
20,30,bsps,14.064,203.20661010101009,0.06902109170290989,0.9692121212121211,20.308467741935484,44.0,35.148,69.116,0.4474284266531543,0.6999278672757875,0,0.2899193548387097,1.0
21,30,bsps,14.536,204.2659111111111,0.06802056699160086,0.985010101010101,22.140637610976594,45.0,34.732,68.792,0.44334301828747225,0.6865984178687762,0,0.3155770782889427,1.0
22,30,bsps,14.144,201.5513125,0.06711692612942613,0.9485,21.292379142917458,44.0,34.96,66.244,0.44570994684889903,0.6872437906920665,0,0.3113785096052354,1.0
23,30,bsps,15.648,205.50067916666663,0.06443413281979457,1.0080833333333332,22.65642516088852,46.0,34.096,68.02,0.4429505479325905,0.6820868671292727,0,0.29209051276728254,1.0
24,30,bsps,14.488,202.40362020202022,0.06651821446527328,0.9623434343434344,21.751959798994974,44.0,35.524,68.492,0.44304466566822304,0.6890817064352857,0,0.31236180904522615,1.0
25,30,bsps,15.184,200.76929795918366,0.06160365574801349,0.9348571428571429,21.066153526107758,45.0,35.896,68.24,0.4441758051981694,0.6903334132885585,0,0.30517994591221137,1.0
26,30,bsps,16.54,201.0072525252525,0.05692200837040878,0.9406464646464645,21.75930113052415,46.0,36.176,69.18,0.44633992237566567,0.6977811782708493,0,0.2961973278520041,1.0
