net,n,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
12,25,rand_dt,0.2,1.0,25,7,3,12,10.844,543.4654833333334,0.09292599067599068,1.0048333333333335,30.93431855500821,109.0,16.884,24.0,0.0,1.0,0,0.0,1.0
13,25,rand_dt,0.2,1.0,25,7,3,10,10.132,545.3958500000001,0.10152121212121214,1.0275,39.392374900714856,109.0,16.34,24.0,0.0,1.0,0,0.0,1.0
14,25,rand_dt,0.2,1.0,25,9,3,12,10.36,539.3750166666667,0.08910715488215488,0.9198333333333334,29.032878909382518,109.0,16.924,24.0,0.0,1.0,0,0.0,1.0
15,25,rand_dt,0.2,1.0,25,8,3,12,12.06,542.66785,0.08247008547008548,0.9944999999999999,35.52739165985282,110.0,17.132,24.0,0.0,1.0,0,0.0,1.0
16,25,rand_dt,0.2,1.0,25,10,3,13,12.004,535.09505,0.07060470085470086,0.8475,31.62379702537183,110.0,17.66,24.0,0.0,1.0,0,0.0,1.0
17,25,rand_dt,0.2,1.0,25,6,4,13,10.532,551.5783333333334,0.10941944444444446,1.1493333333333335,68.36076475477972,205.0,16.416,24.0,0.0,1.0,0,0.0,1.0
18,25,rand_dt,0.2,0.92,23,8,3,11,10.2,538.2183090909091,0.0893487603305785,0.91,31.867857142857144,108.0,15.98,22.0,0.0,1.0,0,0.0,1.0
19,25,rand_dt,0.2,1.0,25,8,3,13,11.304,541.2338500000001,0.08519444444444446,0.9611666666666666,30.278768233387357,110.0,16.932,24.0,0.0,1.0,0,0.0,1.0
20,25,rand_dt,0.2,1.0,25,9,3,14,11.34,538.1056333333333,0.07974006549006549,0.9023333333333332,30.531897265948633,110.0,17.344,24.0,0.0,1.0,0,0.0,1.0
21,25,rand_dt,0.2,0.96,24,13,3,15,13.52,527.9141217391305,0.05164140786749482,0.696695652173913,20.64612676056338,110.0,16.976,23.0,0.0,1.0,0,0.0,1.0
22,25,rand_dt,0.2,0.92,23,8,2,13,13.02,538.7874545454546,0.0706043956043956,0.9192727272727272,33.072529465095194,111.0,15.776,22.0,0.0,1.0,0,0.0,1.0
23,25,rand_dt,0.2,1.0,25,12,3,15,12.604,532.6237166666667,0.06210109890109891,0.7811666666666667,29.586721991701246,110.0,17.252,24.0,0.0,1.0,0,0.0,1.0
24,25,rand_dt,0.2,0.84,21,8,3,12,10.908,537.20602,0.08117979020979021,0.8826,31.184707050645482,109.0,14.348,20.0,0.0,1.0,0,0.0,1.0
25,25,rand_dt,0.2,1.0,25,12,3,15,12.604,531.2512,0.06089621489621489,0.766,23.324772162386083,109.0,17.616,24.0,0.0,1.0,0,0.0,1.0
26,25,rand_dt,0.2,1.0,25,7,3,11,9.496,544.9908500000001,0.10957744107744108,1.0378333333333334,42.082273112807464,109.0,17.092,24.0,0.0,1.0,0,0.0,1.0
27,25,rand_dt,0.2,1.0,25,11,3,13,11.588,533.5309,0.06989345376845377,0.8076666666666668,29.24769101595298,110.0,17.616,24.0,0.0,1.0,0,0.0,1.0
28,25,rand_dt,0.2,1.0,25,10,3,12,10.372,538.0640666666668,0.08527575757575757,0.8826666666666667,29.683774834437084,109.0,16.816,24.0,0.0,1.0,0,0.0,1.0
29,25,rand_dt,0.2,1.0,25,8,3,14,12.008,540.3227833333333,0.07893376068376068,0.9478333333333333,38.24488124488124,109.0,17.252,24.0,0.0,1.0,0,0.0,1.0
30,25,rand_dt,0.2,1.0,25,9,2,14,10.5,537.5603833333333,0.08574116161616162,0.8978333333333333,29.713818479149634,109.0,17.452,24.0,0.0,1.0,0,0.0,1.0
31,25,rand_dt,0.2,1.0,25,13,2,15,13.192,527.6556833333334,0.05329652014652014,0.7025,20.01986183074266,109.0,18.14,24.0,0.0,1.0,0,0.0,1.0
32,25,rand_dt,0.2,1.0,25,12,3,15,12.9,530.9077000000001,0.05919163614163614,0.762,22.822978723404255,109.29999999999995,17.712,24.0,0.0,1.0,0,0.0,1.0
33,25,rand_dt,0.2,1.0,25,8,3,10,8.132,541.6506,0.11838194444444444,0.961,37.721810699588474,108.0,16.936,24.0,0.0,1.0,0,0.0,1.0
34,25,rand_dt,0.2,1.0,25,9,3,12,11.42,539.4201999999999,0.08042064879564881,0.9166666666666666,38.08376068376069,111.0,17.0,24.0,0.0,1.0,0,0.0,1.0
35,25,rand_dt,0.2,1.0,25,13,3,14,13.144,529.7305166666667,0.055496336996337,0.7288333333333332,21.137755102040817,110.0,17.508,24.0,0.0,1.0,0,0.0,1.0
36,25,rand_dt,0.2,1.0,25,10,3,13,11.292,536.3036000000001,0.0765878010878011,0.863,30.133499170812602,109.0,17.288,24.0,0.0,1.0,0,0.0,1.0
37,25,rand_dt,0.2,0.84,21,8,2,9,8.36,541.75908,0.11773111111111112,0.9812000000000001,35.2027027027027,107.0,14.376,20.0,0.0,1.0,0,0.0,1.0
38,25,rand_dt,0.2,0.84,21,6,2,10,8.22,542.1745400000001,0.12018111111111113,0.9862000000000001,34.84011627906977,107.0,14.276,20.0,0.0,1.0,0,0.0,1.0
39,25,rand_dt,0.2,1.0,25,7,3,10,9.484,543.3923833333333,0.10598922558922558,1.0018333333333334,41.87688442211055,109.0,16.956,24.0,0.0,1.0,0,0.0,1.0
0,25,static,0.2,1.0,25,7,3,11,11.0,549.2373166666666,0.10098484848484848,1.1108333333333336,9.136833731105808,11.0,16.34,24.0,0.0,1.0,0,0.0,1.0
1,25,static,0.2,1.0,25,7,3,11,11.0,547.5614666666668,0.09915151515151516,1.0906666666666665,9.232445520581114,11.0,16.824,24.0,0.0,1.0,0,0.0,1.0
2,25,static,0.2,1.0,25,8,3,11,11.0,540.2393166666668,0.0861060606060606,0.9471666666666667,8.718241042345277,11.0,17.268,24.0,0.0,1.0,0,0.0,1.0
3,25,static,0.2,1.0,25,8,3,13,13.0,542.7871333333334,0.07538461538461538,0.98,10.15751211631664,13.0,16.48,24.0,0.0,1.0,0,0.0,1.0
4,25,static,0.2,1.0,25,8,2,12,12.0,539.0501166666667,0.07790277777777777,0.9348333333333333,8.883289124668435,12.0,17.564,24.0,0.0,1.0,0,0.0,1.0
5,25,static,0.2,1.0,25,8,3,14,14.0,540.8322333333334,0.06823809523809524,0.9553333333333333,11.999198075380914,14.0,17.072,24.0,0.0,1.0,0,0.0,1.0
6,25,static,0.2,0.96,24,10,3,13,13.0,534.4017565217393,0.0639598662207358,0.8314782608695651,8.922390722569135,13.0,16.876,23.0,0.0,1.0,0,0.0,1.0
7,25,static,0.2,1.0,25,11,3,14,14.0,534.8237500000001,0.05920238095238096,0.8288333333333333,10.489093959731544,14.0,17.108,24.0,0.0,1.0,0,0.0,1.0
8,25,static,0.2,1.0,25,9,3,14,14.0,538.2915833333334,0.06463095238095239,0.9048333333333333,10.657308009909165,14.0,17.284,24.0,0.0,1.0,0,0.0,1.0
9,25,static,0.2,1.0,25,11,3,14,14.0,533.7729166666668,0.058273809523809526,0.8158333333333334,9.793214862681745,14.0,17.42,24.0,0.0,1.0,0,0.0,1.0
10,25,static,0.2,1.0,25,11,3,13,13.0,534.7025833333333,0.06367948717948718,0.8278333333333334,8.774061990212072,13.0,17.132,24.0,0.0,1.0,0,0.0,1.0
11,25,static,0.2,1.0,25,7,4,10,10.0,552.3725166666667,0.11631666666666667,1.1631666666666665,8.676935886761033,10.0,16.084,24.0,0.0,1.0,0,0.0,1.0
12,25,static,0.2,1.0,25,7,3,12,12.0,543.3685166666667,0.08365277777777777,1.0038333333333334,9.709075487701442,12.0,16.908,24.0,0.0,1.0,0,0.0,1.0
13,25,static,0.2,1.0,25,7,3,10,10.0,545.5050833333333,0.10295,1.0295,7.915117219078415,10.0,16.292,24.0,0.0,1.0,0,0.0,1.0
14,25,static,0.2,1.0,25,9,3,12,12.0,540.1418666666667,0.07758333333333331,0.931,8.964816262705238,12.0,16.656,24.0,0.0,1.0,0,0.0,1.0
15,25,static,0.2,1.0,25,8,3,12,12.0,543.7511166666667,0.08404166666666667,1.0085,9.332539682539682,12.0,16.796,24.0,0.0,1.0,0,0.0,1.0
16,25,static,0.2,1.0,25,10,3,13,13.0,535.2839666666666,0.0655128205128205,0.8516666666666668,9.355692850838482,13.0,17.56,24.0,0.0,1.0,0,0.0,1.0
17,25,static,0.2,1.0,25,6,4,13,13.0,553.1504666666667,0.08987179487179486,1.1683333333333332,10.835537190082645,13.0,15.96,24.0,0.0,1.0,0,0.0,1.0
18,25,static,0.2,0.92,23,8,3,11,11.0,539.4571636363637,0.08406611570247935,0.9247272727272727,8.219383259911893,11.0,15.656,22.0,0.0,1.0,0,0.0,1.0
19,25,static,0.2,1.0,25,8,3,13,13.0,541.0887333333334,0.07397435897435897,0.9616666666666668,10.25793327908869,13.0,16.92,24.0,0.0,1.0,0,0.0,1.0
20,25,static,0.2,1.0,25,9,3,14,14.0,538.3954666666667,0.06478571428571428,0.907,10.775762572135202,14.0,17.232,24.0,0.0,1.0,0,0.0,1.0
21,25,static,0.2,0.96,24,13,3,15,15.0,528.1785913043478,0.04673623188405797,0.7010434782608695,10.512389380530973,15.0,16.876,23.0,0.0,1.0,0,0.0,1.0
22,25,static,0.2,0.92,23,8,2,13,13.0,539.2504545454545,0.07117482517482518,0.9252727272727274,9.634977578475336,13.0,15.644,22.0,0.0,1.0,0,0.0,1.0
23,25,static,0.2,1.0,25,12,3,15,15.0,532.8503333333335,0.05237777777777777,0.7856666666666667,11.582644628099173,15.0,17.144,24.0,0.0,1.0,0,0.0,1.0
24,25,static,0.2,0.84,21,8,3,12,12.0,537.8463999999999,0.07429999999999999,0.8916000000000001,9.55813953488372,12.0,14.168,20.0,0.0,1.0,0,0.0,1.0
25,25,static,0.2,1.0,25,12,3,15,15.0,530.8402833333334,0.050722222222222224,0.7608333333333333,11.415450643776824,15.0,17.74,24.0,0.0,1.0,0,0.0,1.0
26,25,static,0.2,1.0,25,7,3,11,11.0,546.0714,0.09560606060606061,1.0516666666666665,9.698825503355705,11.0,16.76,24.0,0.0,1.0,0,0.0,1.0
27,25,static,0.2,1.0,25,11,3,13,13.0,535.1316833333334,0.06378205128205129,0.8291666666666666,10.296774193548387,13.0,17.1,24.0,0.0,1.0,0,0.0,1.0
28,25,static,0.2,1.0,25,10,3,12,12.0,538.5290666666667,0.07413888888888888,0.8896666666666667,8.836079077429984,12.0,16.648,24.0,0.0,1.0,0,0.0,1.0
29,25,static,0.2,1.0,25,8,3,14,14.0,540.7176500000002,0.06810714285714287,0.9535,11.9,14.0,17.116,24.0,0.0,1.0,0,0.0,1.0
30,25,static,0.2,1.0,25,9,2,14,14.0,537.6816333333334,0.06423809523809525,0.8993333333333333,11.322715842414082,14.0,17.416,24.0,0.0,1.0,0,0.0,1.0
31,25,static,0.2,1.0,25,13,2,15,15.0,528.3148666666667,0.04753333333333333,0.713,10.537759336099585,15.0,17.888,24.0,0.0,1.0,0,0.0,1.0
32,25,static,0.2,1.0,25,12,3,15,15.0,531.9385333333335,0.05173333333333333,0.776,11.297253634894991,15.0,17.376,24.0,0.0,1.0,0,0.0,1.0
33,25,static,0.2,1.0,25,8,3,10,10.0,541.32225,0.09591666666666668,0.9591666666666667,7.983911939034717,10.0,16.98,24.0,0.0,1.0,0,0.0,1.0
34,25,static,0.2,1.0,25,9,3,12,12.0,541.0882333333334,0.07819444444444444,0.9383333333333334,9.512458471760798,12.0,16.48,24.0,0.0,1.0,0,0.0,1.0
35,25,static,0.2,1.0,25,13,3,14,14.0,531.0306833333334,0.05325,0.7455,9.854200988467875,14.0,17.108,24.0,0.0,1.0,0,0.0,1.0
36,25,static,0.2,1.0,25,10,3,13,13.0,535.6274666666668,0.06582051282051282,0.8556666666666668,9.840968020743302,13.0,17.464,24.0,0.0,1.0,0,0.0,1.0
37,25,static,0.2,0.84,21,8,2,9,9.0,542.5111800000002,0.1102888888888889,0.9926,7.1543560606060606,9.0,14.148,20.0,0.0,1.0,0,0.0,1.0
38,25,static,0.2,0.84,21,6,2,10,10.0,543.1918600000001,0.10014,1.0014,8.195211786372008,10.0,13.972,20.0,0.0,1.0,0,0.0,1.0
39,25,static,0.2,1.0,25,7,3,10,10.0,543.5422833333334,0.10058333333333333,1.0058333333333334,7.5561224489795915,10.0,16.86,24.0,0.0,1.0,0,0.0,1.0
0,25,bsps,0.2,1.0,25,7,3,11,8.356,534.5769333333335,0.09428666426166427,0.7891666666666668,40.06284805091488,109.0,9.164,16.3,0.44020903781125115,0.6864474739374499,0,0.3317422434367542,1.0
1,25,bsps,0.2,1.0,25,7,3,11,7.664,532.3305833333334,0.09854956108706109,0.7548333333333332,42.10815173527038,108.0,9.148,15.816,0.4375581035017044,0.6849960722702279,0,0.3583535108958838,1.0
2,25,bsps,0.2,1.0,25,8,3,11,8.624,526.96465,0.07614974747474747,0.6568333333333333,41.73615635179153,109.0,9.296,15.484,0.44318875992669515,0.6924959216965743,0,0.3493485342019544,1.0
3,25,bsps,0.2,1.0,25,8,3,13,9.38,529.8204833333334,0.07430388407888408,0.6996666666666668,41.756058158319874,110.0,9.316,16.224,0.4379157427937916,0.6772030651340997,0,0.345718901453958,1.0
4,25,bsps,0.2,1.0,25,8,2,12,8.828,525.9245333333334,0.07314223184223184,0.6431666666666668,41.60919540229885,109.0,9.72,15.76,0.44607549430796883,0.6901893287435457,0,0.35013262599469497,1.0
5,25,bsps,0.2,1.0,25,8,3,14,9.748,527.9066000000001,0.06894467661967661,0.6708333333333333,41.13953488372093,110.0,9.284,15.732,0.4442513756154069,0.7031611410948342,0,0.33279871692060947,1.0
6,25,bsps,0.2,0.96,24,10,3,13,8.82,523.3302086956522,0.06724975218018696,0.5878260869565217,40.356824264049955,109.0,9.092,14.8,0.4497307001795332,0.7115716753022453,0,0.33987511150758254,1.0
7,25,bsps,0.2,1.0,25,11,3,14,9.744,524.4353500000001,0.06188692788692788,0.6016666666666668,40.2005033557047,110.0,9.644,16.024,0.4458293384467881,0.7011596788581623,0,0.33053691275167785,1.0
