net,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
12,csma,0.05,1.0,100,11,8,19,19.0,1358.1174424242424,1.0,19.0,6.4375,14.0,nan,nan,nan,nan,0,0.0,0.9787595581988106
13,csma,0.05,1.0,100,12,8,18,18.0,1316.0436606060607,1.0,18.0,7.790468364831553,15.0,nan,nan,nan,nan,0,0.0,0.9854251012145749
14,csma,0.05,1.0,100,10,5,18,18.0,1313.7684565656564,1.0,18.0,7.81255230125523,15.0,nan,nan,nan,nan,0,0.0,0.962157809983897
15,csma,0.05,1.0,100,12,5,18,18.0,1312.086921212121,1.0,18.0,7.234959349593496,15.0,nan,nan,nan,nan,0,0.0,0.9761904761904762
16,csma,0.05,0.82,82,10,6,20,20.0,1403.770414814815,1.0,20.0,6.628398791540786,14.0,nan,nan,nan,nan,0,0.0,0.9900299102691924
17,csma,0.05,0.97,97,11,6,20,20.0,1402.7616791666667,1.0,20.0,7.007832898172324,15.0,nan,nan,nan,nan,0,0.0,0.9712595097210481
18,csma,0.05,1.0,100,12,5,20,20.0,1401.210105050505,1.0,20.0,7.723662884927067,15.0,nan,nan,nan,nan,0,0.0,0.9747235387045814
19,csma,0.05,1.0,100,10,5,19,19.0,1356.7633575757577,1.0,19.0,7.49919224555735,15.0,nan,nan,nan,nan,0,0.0,0.9825396825396825
20,csma,0.05,1.0,100,9,6,18,18.0,1316.9713414141415,1.0,18.0,7.068273092369478,15.0,nan,nan,nan,nan,0,0.0,0.9912420382165605
21,csma,0.05,1.0,100,8,8,18,18.0,1318.6616525252527,1.0,18.0,8.486307053941909,16.0,nan,nan,nan,nan,0,0.0,0.990139687756779
22,csma,0.05,0.97,97,10,5,17,17.0,1270.555775,1.0,17.0,8.456779661016949,15.0,nan,nan,nan,nan,0,0.0,0.9882747068676717
23,csma,0.05,0.97,97,7,7,19,19.0,1362.5649708333337,1.0,19.0,8.066498316498317,15.0,nan,nan,nan,nan,0,0.0,0.9908256880733946
24,csma,0.05,1.0,100,10,6,18,18.0,1317.8804404040402,1.0,18.0,8.051512673753066,15.0,nan,nan,nan,nan,0,0.0,0.971405877680699
25,csma,0.05,0.99,99,11,5,18,18.0,1313.8692897959183,1.0,18.0,7.489158716392021,15.0,nan,nan,nan,nan,0,0.0,0.9705387205387206
26,csma,0.05,1.0,100,10,5,20,20.0,1401.6161818181822,1.0,20.0,6.715242881072027,14.0,nan,nan,nan,nan,0,0.0,0.9835255354200988
27,csma,0.05,1.0,100,12,6,19,19.0,1355.9554828282828,1.0,19.0,7.147299509001637,15.0,nan,nan,nan,nan,0,0.0,0.9838969404186796
28,csma,0.05,1.0,100,13,5,18,18.0,1314.0829212121214,1.0,18.0,6.864617940199335,14.849999999999909,nan,nan,nan,nan,0,0.0,0.9860769860769861
29,csma,0.05,1.0,100,9,5,18,18.0,1310.7536646464648,1.0,18.0,6.501706484641638,14.0,nan,nan,nan,nan,0,0.0,0.9791144527986633
30,csma,0.05,0.93,93,11,6,19,19.0,1358.5754739130432,1.0,19.0,7.463348416289593,14.799999999999955,nan,nan,nan,nan,0,0.0,0.9937050359712231
31,csma,0.05,1.0,100,9,6,17,17.0,1270.641995959596,1.0,17.0,7.744556113902847,14.0,nan,nan,nan,nan,0,0.0,0.9819078947368421
32,csma,0.05,1.0,100,10,6,20,20.0,1402.6043434343435,1.0,20.0,7.2416943521594686,15.0,nan,nan,nan,nan,0,0.0,0.9836601307189542
33,csma,0.05,1.0,100,12,6,19,19.0,1355.4492606060608,1.0,19.0,7.179574468085106,16.0,nan,nan,nan,nan,0,0.0,0.9775374376039934
34,csma,0.05,1.0,100,8,6,18,18.0,1316.7652484848486,1.0,18.0,7.4709163346613545,15.0,nan,nan,nan,nan,0,0.0,0.9866352201257862
35,csma,0.05,1.0,100,19,5,24,24.0,1578.172606060606,1.0,24.0,6.535833333333334,15.0,nan,nan,nan,nan,0,0.0,0.9771986970684039
36,csma,0.05,0.97,97,12,5,21,21.0,1448.0577875000001,1.0,21.0,6.829573934837093,15.0,nan,nan,nan,nan,0,0.0,0.9787408013082584
37,csma,0.05,0.96,96,7,7,21,21.0,1449.9331999999997,1.0,21.0,7.394449116904962,16.0,nan,nan,nan,nan,0,0.0,0.9941471571906354
38,csma,0.05,1.0,100,9,6,17,17.0,1274.160161616162,1.0,17.0,8.36205533596838,15.0,nan,nan,nan,nan,0,0.0,0.9813809154383243
39,csma,0.05,1.0,100,11,6,19,19.0,1357.8866666666668,1.0,19.0,6.857261410788381,14.799999999999955,nan,nan,nan,nan,0,0.0,0.9757085020242915
40,csma,0.05,1.0,100,11,7,18,18.0,1319.6821575757574,1.0,18.0,10.087801087801088,17.0,nan,nan,nan,nan,0,0.0,0.9969016266460109
41,csma,0.05,1.0,100,10,5,19,19.0,1361.23538989899,1.0,19.0,7.196386488609583,15.0,nan,nan,nan,nan,0,0.0,0.9883540372670807
42,csma,0.05,1.0,100,8,6,17,17.0,1268.4899434343433,1.0,17.0,6.760070052539405,14.0,nan,nan,nan,nan,0,0.0,0.9878892733564014
43,csma,0.05,0.96,96,9,6,20,20.0,1403.7607115789472,1.0,20.0,7.065833333333333,15.0,nan,nan,nan,nan,0,0.0,0.9917355371900827
44,csma,0.05,1.0,100,11,5,19,19.0,1357.065191919192,1.0,19.0,6.757575757575758,14.0,nan,nan,nan,nan,0,0.0,0.9666395443449959
45,csma,0.05,1.0,100,10,6,17,17.0,1273.0471474747476,1.0,17.0,7.4897792313982015,15.0,nan,nan,nan,nan,0,0.0,0.9776179056754596
46,csma,0.05,0.99,99,10,6,19,19.0,1357.5463142857145,1.0,19.0,7.0093856655290105,15.0,nan,nan,nan,nan,0,0.0,0.9857022708158116
47,csma,0.05,1.0,100,16,5,19,19.0,1359.6993292929292,1.0,19.0,6.56568144499179,14.0,nan,nan,nan,nan,0,0.0,0.9814665592264303
48,csma,0.05,0.99,99,13,6,18,18.0,1313.0304448979593,1.0,18.0,7.246351931330472,15.0,nan,nan,nan,nan,0,0.0,0.9724540901502504
49,csma,0.05,1.0,100,13,5,18,18.0,1316.1774383838383,1.0,18.0,7.462114904246461,15.0,nan,nan,nan,nan,0,0.0,0.9812091503267973
0,csma,0.1,0.99,99,9,7,19,19.0,1414.8313224489796,1.0,19.0,11.996100519930676,19.0,nan,nan,nan,nan,0,0.0,0.9280257338158424
1,csma,0.1,1.0,100,8,7,18,18.0,1366.9522909090913,1.0,18.0,16.03125,102.0,nan,nan,nan,nan,0,0.0,0.970513900589722
2,csma,0.1,1.0,100,11,8,20,20.0,1464.2067353535356,1.0,20.0,12.091973244147157,19.0,nan,nan,nan,nan,0,0.0,0.9652945924132365
3,csma,0.1,0.99,99,11,6,18,18.0,1365.6087387755103,1.0,18.0,15.65336879432624,103.0,nan,nan,nan,nan,0,0.0,0.9141004862236629
4,csma,0.1,1.0,100,9,8,19,19.0,1416.8180404040404,1.0,19.0,12.360325621251071,19.0,nan,nan,nan,nan,0,0.0,0.9415086728519564
5,csma,0.1,0.97,97,12,6,19,19.0,1413.082325,1.0,19.0,13.237849462365592,19.0,nan,nan,nan,nan,0,0.0,0.9288853375948861
6,csma,0.1,1.0,100,9,6,21,21.0,1497.8761252525253,1.0,21.0,10.930693069306932,20.0,nan,nan,nan,nan,0,0.0,0.9684378745505393
7,csma,0.1,1.0,100,13,7,18,18.0,1367.2608202020206,1.0,18.0,14.241537818637694,102.0,nan,nan,nan,nan,0,0.0,0.9522483087942698
8,csma,0.1,1.0,100,15,6,22,22.0,1545.0895313131316,1.0,22.0,10.071273359408952,19.0,nan,nan,nan,nan,0,0.0,0.9453574363188167
9,csma,0.1,1.0,100,13,5,21,21.0,1501.219862626263,1.0,21.0,11.457266811279826,20.0,nan,nan,nan,nan,0,0.0,0.9632260760551609
10,csma,0.1,1.0,100,9,6,22,22.0,1546.5880525252528,1.0,22.0,11.371116708648195,20.0,nan,nan,nan,nan,0,0.0,0.9635922330097088
11,csma,0.1,1.0,100,12,6,22,22.0,1547.0622585858587,1.0,22.0,11.070488322717623,20.0,nan,nan,nan,nan,0,0.0,0.9565393988627132
12,csma,0.1,1.0,100,11,8,19,19.0,1409.704884848485,1.0,19.0,11.103508771929825,18.0,nan,nan,nan,nan,0,0.0,0.9425382389417114
13,csma,0.1,1.0,100,12,8,18,18.0,1365.5920323232324,1.0,18.0,14.314732142857142,101.0,nan,nan,nan,nan,0,0.0,0.9388097233864208
14,csma,0.1,1.0,100,10,5,18,18.0,1364.105066666667,1.0,18.0,12.89455028799291,18.0,nan,nan,nan,nan,0,0.0,0.9185999185999186
15,csma,0.1,1.0,100,12,5,18,18.0,1358.0238303030303,1.0,18.0,14.528791208791208,101.0,nan,nan,nan,nan,0,0.0,0.922920892494929
16,csma,0.1,0.82,82,10,6,20,20.0,1454.146237037037,1.0,20.0,9.970217062089853,18.0,nan,nan,nan,nan,0,0.0,0.9744220363994097
17,csma,0.1,0.97,97,11,6,20,20.0,1458.5755958333334,1.0,20.0,11.707084468664851,19.0,nan,nan,nan,nan,0,0.0,0.9259882253994953
18,csma,0.1,1.0,100,12,5,20,20.0,1450.8620888888893,1.0,20.0,11.292193632795465,19.0,nan,nan,nan,nan,0,0.0,0.9420706655710764
19,csma,0.1,1.0,100,10,5,19,19.0,1407.7900080808083,1.0,19.0,12.26752688172043,19.0,nan,nan,nan,nan,0,0.0,0.9378781766841469
20,csma,0.1,1.0,100,9,6,18,18.0,1364.6763595959599,1.0,18.0,14.588136306268405,102.0,nan,nan,nan,nan,0,0.0,0.9690175295556461
21,csma,0.1,1.0,100,8,8,18,18.0,1365.7887797979802,1.0,18.0,15.77801817395067,102.0,nan,nan,nan,nan,0,0.0,0.9653299916457811
22,csma,0.1,0.97,97,10,5,17,17.0,1320.4778750000003,1.0,17.0,14.510683760683762,102.0,nan,nan,nan,nan,0,0.0,0.9601969634796882
23,csma,0.1,0.97,97,7,7,19,19.0,1418.50795,1.0,19.0,14.627276577721304,101.0,nan,nan,nan,nan,0,0.0,0.9696098562628337
