net,burst,scheme,p,reachable,nodes,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
48,10,static,0.2,0.99,99,18,18.0,558.2854693877551,0.06861678004535147,1.2351020408163265,15.0,18.0,61.96,98.0,0.0,1.0,0,0.0,1.0
49,10,static,0.2,1.0,100,18,18.0,557.5296040404041,0.06810549943883276,1.2258989898989898,15.183637433784579,18.0,63.636,99.0,0.0,1.0,0,0.0,1.0
0,10,bsps,0.2,0.99,99,19,15.704,544.9534897959185,0.060768556171263574,0.9493469387755101,16.885805084745762,18.0,34.432,67.276,0.4928634080216889,0.947335618572764,0,0.04152542372881356,1.0
1,10,bsps,0.2,1.0,100,18,14.832,550.2144444444446,0.069130682063035,1.0236363636363635,16.999173553719007,17.0,33.28,70.404,0.49310222851078883,0.9479945615227736,0,0.03925619834710744,1.0
2,10,bsps,0.2,1.0,100,20,16.092,547.5840282828283,0.06127743552743553,0.9837575757575757,17.05684293919588,18.0,33.616,70.06,0.4923841059602649,0.9473186119873817,0,0.03822539116656764,1.0
3,10,bsps,0.2,0.99,99,18,14.212,545.9298163265306,0.06767277779243565,0.9605714285714285,14.92855799962399,16.0,33.54,68.328,0.49299897160034806,0.949687406966359,0,0.035344989659710474,1.0
4,10,bsps,0.2,1.0,100,19,14.34,546.332080808081,0.06766284125856317,0.967111111111111,16.445516109172996,17.0,34.52,68.344,0.49279827466687204,0.9455157636975818,0,0.039811204596757646,1.0
5,10,bsps,0.2,0.97,97,19,15.38,546.0415333333334,0.0629125307219154,0.9637083333333334,15.431687242798354,18.0,33.584,67.952,0.4934873623817646,0.9552505966587113,0,0.034156378600823045,1.0
6,10,bsps,0.2,1.0,100,21,15.592,548.2469535353537,0.06422967211285063,0.9963636363636363,16.778512396694214,18.050000000000182,33.244,69.432,0.49309280026003577,0.9492798998121478,0,0.04008264462809917,1.0
7,10,bsps,0.2,1.0,100,18,13.796,544.8997252525253,0.06856752193472336,0.9399191919191919,14.919951485748939,16.0,33.892,68.3,0.49363769568905685,0.952787084983247,0,0.03658783100869214,1.0
8,10,bsps,0.2,1.0,100,22,16.636,539.070698989899,0.051933042201463255,0.861090909090909,17.45584112149533,18.0,37.148,67.02,0.4938416882403703,0.9404714342788654,0,0.04252336448598131,1.0
9,10,bsps,0.2,1.0,100,21,15.872,544.0176242424243,0.05916797803350951,0.9325252525252525,17.15829497698619,19.0,35.3,68.236,0.49270752521334366,0.9427652733118971,0,0.04082449469681809,1.0
10,10,bsps,0.2,1.0,100,22,15.68,545.6948444444445,0.06172869831693361,0.9646464646464646,16.742169768497504,18.0,35.972,68.26,0.4936263736263736,0.947741935483871,0,0.04085338175215615,1.0
11,10,bsps,0.2,1.0,100,22,16.788,545.6069898989899,0.057320152604724325,0.9606868686868688,17.71467221644121,18.0,35.016,69.384,0.4931089743589744,0.9460264900662252,0,0.040166493236212276,1.0
12,10,bsps,0.2,1.0,100,19,14.176,547.2327636363636,0.06927668932374814,0.9778181818181818,15.358029334336216,16.0,33.48,69.5,0.49244402247013214,0.9495984491830518,0,0.03798420458819105,1.0
