net,sigma,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
12,6,oracle,0.2,0.98,98,6,9,15,10.94,546.2721195876289,0.07822366636799626,0.8541030927835052,9.072615384615384,13.0,0.0,43.596,1.0,1.0,0,0.0,1.0
13,6,oracle,0.2,0.65,65,9,6,14,8.944,535.4931125,0.07687091901154401,0.6911875,7.1369426751592355,10.0,0.0,24.44,1.0,1.0,0,0.0,1.0
14,6,oracle,0.2,0.89,89,8,10,16,11.78,545.0041954545455,0.07072780767212584,0.8345,10.94049476264765,13.0,0.0,37.812,1.0,1.0,0,0.0,1.0
15,6,oracle,0.2,1.0,100,8,12,16,11.236,544.1798383838385,0.07320713898895717,0.8224242424242425,9.086161879895561,12.0,0.0,43.048,1.0,1.0,0,0.0,1.0
16,6,oracle,0.2,0.74,74,8,7,13,8.604,537.6421643835617,0.08403100278716717,0.723835616438356,6.704633204633205,10.0,0.0,29.188,1.0,1.0,0,0.0,1.0
17,6,oracle,0.2,0.94,94,7,10,15,10.444,544.6159268817204,0.07922110505981474,0.828989247311828,8.649475524475525,11.0,0.0,40.628,1.0,1.0,0,0.0,1.0
18,6,oracle,0.2,0.71,71,6,6,14,8.284,538.4091714285714,0.08860524840239127,0.7351428571428572,6.8172748004561,10.0,0.0,27.788,1.0,1.0,0,0.0,1.0
19,6,oracle,0.2,0.79,79,8,9,13,9.468,541.5934000000001,0.08265598105598106,0.7835384615384616,7.48254048582996,10.0,0.0,33.084,1.0,1.0,0,0.0,1.0
20,6,oracle,0.2,0.72,72,9,10,15,9.724,539.3326873239437,0.07694754181655591,0.7487887323943662,8.729517396184063,11.0,0.0,28.0,1.0,1.0,0,0.0,1.0
21,6,oracle,0.2,0.99,99,6,9,15,10.624,544.7475428571429,0.07803084217369931,0.8309795918367346,8.744153225806452,11.0,0.0,42.896,1.0,1.0,0,0.0,1.0
22,6,oracle,0.2,0.6,60,7,8,15,9.072,539.7221694915255,0.08283121774647198,0.7549152542372881,7.982185680027406,10.0,0.0,23.792,1.0,1.0,0,0.0,1.0
23,6,oracle,0.2,1.0,100,7,16,21,16.136,547.2028404040404,0.05373924567959656,0.8676363636363637,15.943900448796409,18.0,0.0,43.652,1.0,1.0,0,0.0,1.0
24,6,oracle,0.2,0.89,89,10,7,16,9.82,536.7692318181819,0.07218984979666797,0.7101363636363638,8.24960362400906,11.0,0.0,33.508,1.0,1.0,0,0.0,1.0
25,6,oracle,0.2,1.0,100,7,9,16,11.264,545.2955676767677,0.07464345744042714,0.8393535353535353,9.495497298379027,12.0,0.0,43.916,1.0,1.0,0,0.0,1.0
26,6,oracle,0.2,0.99,99,6,12,18,12.568,544.6554938775511,0.06624450821287556,0.8293061224489795,10.751662971175167,15.0,0.0,42.096,1.0,1.0,0,0.0,1.0
27,6,oracle,0.2,0.94,94,7,11,18,11.664,544.4687053763441,0.07095981151465022,0.8265376344086021,10.554352441613588,13.0,0.0,39.976,1.0,1.0,0,0.0,1.0
28,6,oracle,0.2,0.97,97,7,17,21,18.068,546.4965083333334,0.04751103815935956,0.857125,13.879123173277662,20.0,0.0,42.328,1.0,1.0,0,0.0,1.0
29,6,oracle,0.2,0.98,98,9,9,15,10.116,542.1308701030929,0.07816356587284423,0.7912577319587629,8.822445561139029,11.0,0.0,40.416,1.0,1.0,0,0.0,1.0
30,6,oracle,0.2,0.91,91,8,9,15,10.816,542.7365911111111,0.07469156485489817,0.8006222222222221,8.473361105020828,12.0,0.0,38.348,1.0,1.0,0,0.0,1.0
31,6,oracle,0.2,0.66,66,6,8,14,9.716,544.7340369230769,0.08533625485625485,0.8306461538461539,9.019405320813771,11.0,0.0,28.22,1.0,1.0,0,0.0,1.0
32,6,oracle,0.2,0.73,73,8,8,13,8.896,541.9740166666668,0.08827699615199615,0.7893888888888889,7.02857943401513,10.0,0.0,30.9,1.0,1.0,0,0.0,1.0
33,6,oracle,0.2,0.97,97,9,7,15,9.332,542.1607666666667,0.084799791990417,0.7915416666666666,8.424286007807684,10.0,0.0,39.584,1.0,1.0,0,0.0,1.0
34,6,oracle,0.2,0.98,98,8,9,16,10.604,541.8567340206184,0.07428848619879547,0.7871752577319587,8.856223607480395,12.0,0.0,40.408,1.0,1.0,0,0.0,1.0
35,6,oracle,0.2,0.95,95,7,8,15,10.536,547.2187914893618,0.08233261336771974,0.8682127659574468,9.364036928241712,11.0,0.0,42.304,1.0,1.0,0,0.0,1.0
36,6,oracle,0.2,0.81,81,6,9,14,9.744,541.1884200000002,0.07951965367965368,0.77735,7.599795814190914,11.0,0.0,33.584,1.0,1.0,0,0.0,1.0
37,6,oracle,0.2,0.87,87,11,10,15,10.26,541.9349906976745,0.07659037280548908,0.7887906976744187,7.78398288973384,11.0,0.0,36.868,1.0,1.0,0,0.0,1.0
38,6,oracle,0.2,0.81,81,6,9,16,10.48,540.4279750000001,0.0728352195027195,0.7655,8.661694058154236,11.0,0.0,32.436,1.0,1.0,0,0.0,1.0
39,6,oracle,0.2,0.95,95,8,11,15,10.644,541.1873063829788,0.07289992973929144,0.777063829787234,8.62038590604027,12.0,0.0,38.78,1.0,1.0,0,0.0,1.0
0,6,csma,0.2,0.96,96,8,7,15,15.0,1289.9228757894737,1.0,15.0,50.41428571428571,202.0,nan,nan,nan,nan,0,0.0,0.8560945780676722
1,6,csma,0.2,0.85,85,7,10,15,15.0,1287.2679761904765,1.0,15.0,55.53819989534275,206.0,nan,nan,nan,nan,0,0.0,0.9209638554216868
2,6,csma,0.2,0.96,96,7,14,18,18.0,1443.0991031578951,1.0,18.0,42.015709261430246,115.0,nan,nan,nan,nan,0,0.0,0.9148434148434148
3,6,csma,0.2,0.92,92,8,9,17,17.0,1395.6524219780222,1.0,17.0,50.815432994678275,201.0,nan,nan,nan,nan,0,0.0,0.9032117107275508
4,6,csma,0.2,1.0,100,8,10,16,16.0,1331.0372565656567,1.0,16.0,43.99416705552963,115.0,nan,nan,nan,nan,0,0.0,0.8795403242355838
5,6,csma,0.2,0.99,99,7,11,17,17.0,1393.5755959183675,1.0,17.0,48.14745945945946,117.0,nan,nan,nan,nan,0,0.0,0.9434924520603836
6,6,csma,0.2,0.97,97,7,10,16,16.0,1342.7442625,1.0,16.0,50.23790412486065,201.0,nan,nan,nan,nan,0,0.0,0.9128841848157948
7,6,csma,0.2,0.66,66,8,9,15,15.0,1280.1356184615386,1.0,15.0,32.37266042780749,112.0,nan,nan,nan,nan,0,0.0,0.9208987380732533
8,6,csma,0.2,1.0,100,6,15,18,18.0,1438.1039272727276,1.0,18.0,41.75806092950856,116.0,nan,nan,nan,nan,0,0.0,0.9088520614389652
9,6,csma,0.2,0.91,91,9,10,17,17.0,1390.047413333334,1.0,17.0,37.33841028081866,115.0,nan,nan,nan,nan,0,0.0,0.9310879680921782
10,6,csma,0.2,0.75,75,8,9,14,14.0,1234.2042378378383,1.0,14.0,45.741126070991434,114.0,nan,nan,nan,nan,0,0.0,0.8834820221681535
11,6,csma,0.2,0.87,87,10,17,22,22.0,1638.495939534884,1.0,22.0,32.27511133102425,115.0,nan,nan,nan,nan,0,0.0,0.944613227389577
12,6,csma,0.2,0.98,98,6,9,15,15.0,1283.5237979381445,1.0,15.0,50.799687825182104,202.0,nan,nan,nan,nan,0,0.0,0.7995008319467554
13,6,csma,0.2,0.65,65,9,6,14,14.0,1250.32005625,1.0,14.0,43.62951705504897,202.0,nan,nan,nan,nan,0,0.0,0.9325984251968504
14,6,csma,0.2,0.89,89,8,10,16,16.0,1344.3497772727274,1.0,16.0,56.13283582089552,204.0,nan,nan,nan,nan,0,0.0,0.8887906256909132
15,6,csma,0.2,1.0,100,8,12,16,16.0,1335.2234828282833,1.0,16.0,47.02084704849682,115.0,nan,nan,nan,nan,0,0.0,0.9338114754098361
16,6,csma,0.2,0.74,74,8,7,13,13.0,1184.7048438356164,1.0,13.0,53.9312383322962,207.0,nan,nan,nan,nan,0,0.0,0.876944065484311
17,6,csma,0.2,0.94,94,7,10,15,15.0,1293.6390279569896,1.0,15.0,46.82305066946705,115.0,nan,nan,nan,nan,0,0.0,0.8244588744588744
18,6,csma,0.2,0.71,71,6,6,14,14.0,1226.0671942857143,1.0,14.0,40.37585266030014,201.0,nan,nan,nan,nan,0,0.0,0.8508415554265816
19,6,csma,0.2,0.79,79,8,9,13,13.0,1195.3391333333336,1.0,13.0,54.66039510818438,205.0,nan,nan,nan,nan,0,0.0,0.8365687303252886
20,6,csma,0.2,0.72,72,9,10,15,15.0,1286.255233802817,1.0,15.0,48.155080213903744,204.0,nan,nan,nan,nan,0,0.0,0.9233226837060703
21,6,csma,0.2,0.99,99,6,9,15,15.0,1285.730110204082,1.0,15.0,49.48008289201013,201.0,nan,nan,nan,nan,0,0.0,0.8938053097345132
22,6,csma,0.2,0.6,60,7,8,15,15.0,1283.668705084746,1.0,15.0,34.86626030835425,112.0,nan,nan,nan,nan,0,0.0,0.9284287616511319
23,6,csma,0.2,1.0,100,7,16,21,21.0,1603.0198424242428,1.0,21.0,60.06675906675907,121.0,nan,nan,nan,nan,0,0.0,0.8784496753246753
24,6,csma,0.2,0.89,89,10,7,16,16.0,1340.2667863636366,1.0,16.0,41.7727626459144,115.0,nan,nan,nan,nan,0,0.0,0.8624161073825504
25,6,csma,0.2,1.0,100,7,9,16,16.0,1343.828468686869,1.0,16.0,46.8026159334126,116.0,nan,nan,nan,nan,0,0.0,0.8482953399233407
26,6,csma,0.2,0.99,99,6,12,18,18.0,1428.7682938775513,1.0,18.0,43.67551813471503,117.0,nan,nan,nan,nan,0,0.0,0.9391727493917275
27,6,csma,0.2,0.94,94,7,11,18,18.0,1439.1533634408606,1.0,18.0,42.31242899341059,116.0,nan,nan,nan,nan,0,0.0,0.9275026343519495
28,6,csma,0.2,0.97,97,7,17,21,21.0,1590.422504166667,1.0,21.0,35.1022454763462,115.0,nan,nan,nan,nan,0,0.0,0.955824130027089
29,6,csma,0.2,0.98,98,9,9,15,15.0,1288.3054474226806,1.0,15.0,53.13228271251194,205.0,nan,nan,nan,nan,0,0.0,0.8645747316267548
30,6,csma,0.2,0.91,91,8,9,15,15.0,1281.0832133333338,1.0,15.0,52.84735516372796,204.0,nan,nan,nan,nan,0,0.0,0.883793410507569
31,6,csma,0.2,0.66,66,6,8,14,14.0,1239.726307692308,1.0,14.0,50.218113975576664,201.0,nan,nan,nan,nan,0,0.0,0.9343898573692552
32,6,csma,0.2,0.73,73,8,8,13,13.0,1189.3746833333337,1.0,13.0,50.26040626040626,205.0,nan,nan,nan,nan,0,0.0,0.8341666666666666
33,6,csma,0.2,0.97,97,9,7,15,15.0,1283.8414458333334,1.0,15.0,44.22818791946309,115.0,nan,nan,nan,nan,0,0.0,0.863768115942029
34,6,csma,0.2,0.98,98,8,9,16,16.0,1331.0313113402062,1.0,16.0,42.702926941691636,115.0,nan,nan,nan,nan,0,0.0,0.8665867785100859
35,6,csma,0.2,0.95,95,7,8,15,15.0,1276.6739148936172,1.0,15.0,48.477036695130394,115.0,nan,nan,nan,nan,0,0.0,0.9187871077184054
36,6,csma,0.2,0.81,81,6,9,14,14.0,1233.5755050000002,1.0,14.0,46.00403225806452,114.0,nan,nan,nan,nan,0,0.0,0.8879795396419438
37,6,csma,0.2,0.87,87,11,10,15,15.0,1283.1859255813956,1.0,15.0,49.494773519163765,205.0,nan,nan,nan,nan,0,0.0,0.8782956685499058
38,6,csma,0.2,0.81,81,6,9,16,16.0,1340.6398600000002,1.0,16.0,37.62444690265487,114.0,nan,nan,nan,nan,0,0.0,0.9186991869918699
39,6,csma,0.2,0.95,95,8,11,15,15.0,1284.0522,1.0,15.0,49.06916890080429,201.0,nan,nan,nan,nan,0,0.0,0.8059636992221262
0,8,rand_st_A,0.2,1.0,100,10,9,16,15.0,567.3728404040404,0.09209966329966329,1.3814949494949493,237.04728789986092,404.0,59.232,99.0,0.0,1.0,0,0.0,1.0
1,8,rand_st_A,0.2,0.93,93,9,9,19,17.0,565.3829739130437,0.0799386189258312,1.3589565217391302,199.4625212947189,305.0,56.976,92.0,0.0,1.0,0,0.0,1.0
2,8,rand_st_A,0.2,0.97,97,9,11,17,14.0,566.4816791666667,0.09703869047619049,1.3585416666666665,159.21189055749846,307.0,55.58,96.0,0.0,1.0,0,0.0,1.0
3,8,rand_st_A,0.2,0.98,98,8,9,17,17.0,565.1626556701032,0.07921892055791388,1.3467216494845362,144.73186055938388,208.0,58.368,97.0,0.0,1.0,0,0.0,1.0
4,8,rand_st_A,0.2,0.93,93,8,9,18,20.0,567.0728521739131,0.06876086956521739,1.3752173913043477,150.04933128699847,306.0,54.48,92.0,0.0,1.0,0,0.0,1.0
5,8,rand_st_A,0.2,1.0,100,7,7,16,14.0,565.3383878787879,0.09635497835497836,1.3489696969696967,118.35292925197649,208.0,59.452,99.0,0.0,1.0,0,0.0,1.0
6,8,rand_st_A,0.2,0.97,97,10,8,18,16.0,563.0833541666667,0.0819140625,1.310625,172.4845640383813,502.0,58.18,96.0,0.0,1.0,0,0.0,1.0
7,8,rand_st_A,0.2,1.0,100,9,10,16,16.0,562.5163555555557,0.08136868686868687,1.30189898989899,142.20144181256435,304.0,61.112,99.0,0.0,1.0,0,0.0,1.0
8,8,rand_st_A,0.2,1.0,100,13,9,17,16.0,559.7990909090909,0.07798737373737373,1.2477979797979797,136.74266503667482,304.0,61.468,99.0,0.0,1.0,0,0.0,1.0
9,8,rand_st_A,0.2,1.0,100,13,6,17,17.0,558.6735111111111,0.07288413547237077,1.2390303030303031,90.93919457735247,208.0,62.336,99.0,0.0,1.0,0,0.0,1.0
10,8,rand_st_A,0.2,0.98,98,9,10,20,18.0,562.6305195876289,0.07258419243986253,1.3065154639175258,199.76873706004142,503.0,60.268,97.0,0.0,1.0,0,0.0,1.0
11,8,rand_st_A,0.2,0.98,98,9,6,18,17.0,561.1765855670103,0.07569678593086718,1.2868453608247423,128.28046501972182,212.0,60.176,97.0,0.0,1.0,0,0.0,1.0
12,8,rand_st_A,0.2,1.0,100,7,7,19,16.0,563.181696969697,0.08209090909090908,1.3134545454545452,161.55472986543484,306.0,60.968,99.0,0.0,1.0,0,0.0,1.0
13,8,rand_st_A,0.2,1.0,100,10,10,18,17.0,562.7732363636363,0.07613547237076648,1.2943030303030303,149.36213734084743,313.0,59.864,99.0,0.0,1.0,0,0.0,1.0
14,8,rand_st_A,0.2,0.87,87,9,10,15,18.0,562.4711069767443,0.07173126614987078,1.2911627906976744,163.65710351159055,406.0,51.96,86.0,0.0,1.0,0,0.0,1.0
15,8,rand_st_A,0.2,0.99,99,6,11,20,16.0,566.9118163265307,0.08491071428571428,1.3585714285714285,221.78254707430654,509.0,56.86,98.0,0.0,1.0,0,0.0,1.0
16,8,rand_st_A,0.2,0.98,98,10,6,18,16.0,560.2251051546391,0.07957216494845361,1.2731546391752577,97.59853095487932,205.0,60.504,97.0,0.0,1.0,0,0.0,1.0
17,8,rand_st_A,0.2,1.0,100,11,8,16,16.0,562.3974303030303,0.08058080808080809,1.2892929292929294,130.58171006766455,307.0,59.36,99.0,0.0,1.0,0,0.0,1.0
18,8,rand_st_A,0.2,0.99,99,9,9,16,17.0,562.8408693877552,0.07656902761104441,1.3016734693877552,190.99918166939443,403.0,59.436,98.0,0.0,1.0,0,0.0,1.0
19,8,rand_st_A,0.2,0.96,96,11,8,18,17.0,560.7265094736842,0.07453622291021672,1.2671157894736844,118.88816480975404,303.0,58.624,95.0,0.0,1.0,0,0.0,1.0
20,8,rand_st_A,0.2,0.97,97,10,8,17,17.0,559.4931250000001,0.07392647058823529,1.25675,119.83403010033445,308.0,61.352,96.0,0.0,1.0,0,0.0,1.0
21,8,rand_st_A,0.2,1.0,100,7,8,16,14.0,564.6244161616162,0.0955007215007215,1.337010101010101,170.80331800919447,305.0,59.636,99.0,0.0,1.0,0,0.0,1.0
22,8,rand_st_A,0.2,1.0,100,9,11,18,15.0,566.937381818182,0.09150168350168351,1.3725252525252525,199.11131203536266,407.0,59.12,99.0,0.0,1.0,0,0.0,1.0
23,8,rand_st_A,0.2,0.99,99,8,7,18,15.0,563.7745836734695,0.08821496598639456,1.3232244897959182,150.5159090909091,303.0,59.324,98.0,0.0,1.0,0,0.0,1.0
24,8,rand_st_A,0.2,1.0,100,7,8,18,17.0,563.0534101010103,0.07730718954248365,1.3142222222222222,131.7682065765584,304.0,60.892,99.0,0.0,1.0,0,0.0,1.0
25,8,rand_st_A,0.2,0.99,99,10,7,18,16.0,565.5812000000002,0.08493877551020408,1.3590204081632653,176.14726649182973,307.0,59.816,98.0,0.0,1.0,0,0.0,1.0
26,8,rand_st_A,0.2,0.89,89,11,7,18,16.0,561.6600000000001,0.08085227272727273,1.2936363636363637,153.25679893000446,304.0,54.16,88.0,0.0,1.0,0,0.0,1.0
27,8,rand_st_A,0.2,1.0,100,12,6,18,15.0,561.8384121212122,0.08534141414141415,1.280121212121212,154.2614,312.0,59.268,99.0,0.0,1.0,0,0.0,1.0
28,8,rand_st_A,0.2,0.98,98,9,8,18,15.0,560.498437113402,0.08517113402061856,1.2775670103092784,139.95776679027605,212.0,61.076,97.0,0.0,1.0,0,0.0,1.0
29,8,rand_st_A,0.2,0.92,92,8,6,19,17.0,563.2394593406594,0.07786683904330963,1.323736263736264,134.64666368114644,206.0,56.54,91.0,0.0,1.0,0,0.0,1.0
30,8,rand_st_A,0.2,0.99,99,10,8,18,17.0,560.9763714285714,0.07513325330132051,1.2772653061224486,141.39452495974234,304.0,60.828,98.0,0.0,1.0,0,0.0,1.0
31,8,rand_st_A,0.2,0.8,80,10,6,18,16.0,558.5854683544305,0.07734177215189873,1.2374683544303797,123.55124223602485,213.0,50.24,79.0,0.0,1.0,0,0.0,1.0
32,8,rand_st_A,0.2,1.0,100,7,7,20,17.0,563.9372161616161,0.07831016042780749,1.3312727272727274,184.70545680033072,309.0,61.204,99.0,0.0,1.0,0,0.0,1.0
33,8,rand_st_A,0.2,1.0,100,11,13,18,18.0,566.3501090909091,0.07495398428731763,1.3491717171717172,218.7701012507445,602.0,57.432,99.0,0.0,1.0,0,0.0,1.0
34,8,rand_st_A,0.2,1.0,100,8,8,16,14.0,569.2749616161616,0.10022222222222223,1.403111111111111,194.04034810126583,305.0,57.092,99.0,0.0,1.0,0,0.0,1.0
35,8,rand_st_A,0.2,0.96,96,11,7,18,16.0,561.8408968421053,0.08021315789473683,1.2834105263157893,121.34497090606817,402.0,57.076,95.0,0.0,1.0,0,0.0,1.0
36,8,rand_st_A,0.2,1.0,100,10,10,17,15.0,567.0095232323232,0.09167676767676768,1.375151515151515,195.28556722256536,406.0,58.86,99.0,0.0,1.0,0,0.0,1.0
37,8,rand_st_A,0.2,1.0,100,9,7,17,19.0,562.6967878787879,0.0685826687931951,1.3030707070707068,132.52671598849156,213.0,60.996,99.0,0.0,1.0,0,0.0,1.0
38,8,rand_st_A,0.2,0.78,78,9,9,19,13.0,564.9813610389609,0.10324075924075923,1.34212987012987,235.45812679363422,507.0,46.656,77.0,0.0,1.0,0,0.0,1.0
39,8,rand_st_A,0.2,0.78,78,8,7,16,17.0,562.0841298701299,0.0758533231474408,1.2895064935064933,155.08025974025975,306.0,46.708,77.0,0.0,1.0,0,0.0,1.0
0,8,rand_st,0.2,1.0,100,10,9,16,13.0,567.5413414141415,0.10641802641802642,1.3834343434343435,226.41744486389828,404.0,59.04,99.0,0.0,1.0,0,0.0,1.0
1,8,rand_st,0.2,0.93,93,9,9,19,16.0,565.2824782608697,0.0848641304347826,1.3578260869565215,198.8236797274276,305.0,57.08,92.0,0.0,1.0,0,0.0,1.0
2,8,rand_st,0.2,0.97,97,9,11,17,13.0,566.46855,0.10449358974358976,1.3584166666666666,159.0654186381403,311.0,55.592,96.0,0.0,1.0,0,0.0,1.0
3,8,rand_st,0.2,0.98,98,8,9,17,14.0,565.1589896907216,0.09619145802650957,1.346680412371134,141.8486015403324,303.0,58.372,97.0,0.0,1.0,0,0.0,1.0
4,8,rand_st,0.2,0.93,93,8,9,18,16.0,566.9744608695653,0.08588043478260869,1.374086956521739,146.31221223415918,302.0,54.584,92.0,0.0,1.0,0,0.0,1.0
5,8,rand_st,0.2,1.0,100,7,7,16,12.0,565.3455717171717,0.11242087542087544,1.349050505050505,110.07419420231096,209.0,59.444,99.0,0.0,1.0,0,0.0,1.0
6,8,rand_st,0.2,0.97,97,10,8,18,13.0,563.0591125000001,0.10079807692307692,1.310375,170.74030037546933,502.0,58.204,96.0,0.0,1.0,0,0.0,1.0
7,8,rand_st,0.2,1.0,100,9,10,16,14.0,562.488597979798,0.09296969696969697,1.3015757575757576,146.83295571575695,304.0,61.144,99.0,0.0,1.0,0,0.0,1.0
8,8,rand_st,0.2,1.0,100,13,9,17,16.0,559.9068484848485,0.07806313131313132,1.2490101010101011,146.40036674816625,313.0,61.348,99.0,0.0,1.0,0,0.0,1.0
9,8,rand_st,0.2,1.0,100,13,6,17,16.0,558.6232242424244,0.07740404040404042,1.2384646464646467,98.6694577352472,210.0,62.392,99.0,0.0,1.0,0,0.0,1.0
10,8,rand_st,0.2,0.98,98,9,10,20,16.0,562.6711711340207,0.08168298969072164,1.3069278350515463,176.67432712215322,404.0,60.228,97.0,0.0,1.0,0,0.0,1.0
11,8,rand_st,0.2,0.98,98,9,6,18,14.0,561.2552412371135,0.0919823269513991,1.2877525773195875,123.1453186630683,209.0,60.088,97.0,0.0,1.0,0,0.0,1.0
12,8,rand_st,0.2,1.0,100,7,7,19,15.0,563.1960646464646,0.08757441077441078,1.3136161616161615,163.19401486242216,306.0,60.952,99.0,0.0,1.0,0,0.0,1.0
13,8,rand_st,0.2,1.0,100,10,10,18,15.0,562.7634383838384,0.08627878787878789,1.2941818181818183,149.90482154038824,313.0,59.876,99.0,0.0,1.0,0,0.0,1.0
14,8,rand_st,0.2,0.87,87,9,10,15,14.0,562.4699813953489,0.09222591362126246,1.2911627906976744,153.91898095019508,407.0,51.96,86.0,0.0,1.0,0,0.0,1.0
15,8,rand_st,0.2,0.99,99,6,11,20,13.0,566.8973020408164,0.10449293563579277,1.358408163265306,219.42518728487548,508.0,56.876,98.0,0.0,1.0,0,0.0,1.0
16,8,rand_st,0.2,0.98,98,10,6,18,14.0,560.2304206185566,0.09093667157584684,1.2731134020618555,89.67471143756558,204.0,60.508,97.0,0.0,1.0,0,0.0,1.0
17,8,rand_st,0.2,1.0,100,11,8,16,15.0,562.351393939394,0.08592053872053873,1.2888080808080808,144.59995899118312,307.0,59.408,99.0,0.0,1.0,0,0.0,1.0
18,8,rand_st,0.2,0.99,99,9,9,16,15.0,562.9134408163266,0.0868326530612245,1.3024897959183672,180.74243044189853,403.0,59.356,98.0,0.0,1.0,0,0.0,1.0
19,8,rand_st,0.2,0.96,96,11,8,18,14.0,560.6696757894738,0.09046015037593987,1.2664421052631578,108.27580407820055,212.0,58.688,95.0,0.0,1.0,0,0.0,1.0
20,8,rand_st,0.2,0.97,97,10,8,17,14.0,559.4709,0.08975,1.2565,109.69544314381271,307.0,61.376,96.0,0.0,1.0,0,0.0,1.0
21,8,rand_st,0.2,1.0,100,7,8,16,12.0,564.6195272727274,0.1114175084175084,1.3370101010101012,166.5328802718369,305.0,59.636,99.0,0.0,1.0,0,0.0,1.0
22,8,rand_st,0.2,1.0,100,9,11,18,13.0,566.9481575757576,0.1055881895881896,1.3726464646464647,194.6077958609604,407.0,59.108,99.0,0.0,1.0,0,0.0,1.0
23,8,rand_st,0.2,0.99,99,8,7,18,13.0,563.7782122448981,0.10178963893249607,1.3232653061224489,163.725826446281,306.0,59.32,98.0,0.0,1.0,0,0.0,1.0
24,8,rand_st,0.2,1.0,100,7,8,18,15.0,562.9472888888889,0.08753670033670033,1.313050505050505,111.45249142626588,211.0,61.008,99.0,0.0,1.0,0,0.0,1.0
25,8,rand_st,0.2,0.99,99,10,7,18,15.0,565.6646571428572,0.09066394557823128,1.3599591836734695,151.58805729271737,304.0,59.724,98.0,0.0,1.0,0,0.0,1.0
26,8,rand_st,0.2,0.89,89,11,7,18,16.0,561.6985681818182,0.0808778409090909,1.2940454545454545,130.1103432902363,204.0,54.124,88.0,0.0,1.0,0,0.0,1.0
27,8,rand_st,0.2,1.0,100,12,6,18,13.0,561.9135232323233,0.09853923853923854,1.2810101010101012,165.1732,312.0,59.18,99.0,0.0,1.0,0,0.0,1.0
28,8,rand_st,0.2,0.98,98,9,8,18,14.0,560.3481113402063,0.09112518409425627,1.2757525773195875,117.19200659250103,208.0,61.252,97.0,0.0,1.0,0,0.0,1.0
29,8,rand_st,0.2,0.92,92,8,6,19,16.0,563.2376791208792,0.08273076923076925,1.323692307692308,163.85356023287056,303.0,56.544,91.0,0.0,1.0,0,0.0,1.0
30,8,rand_st,0.2,0.99,99,10,8,18,16.0,561.0476326530613,0.07988265306122448,1.2781224489795917,137.3486312399356,304.0,60.744,98.0,0.0,1.0,0,0.0,1.0
31,8,rand_st,0.2,0.8,80,10,6,18,13.0,558.5924202531646,0.09519376825705939,1.237518987341772,117.16589026915113,210.0,50.236,79.0,0.0,1.0,0,0.0,1.0
32,8,rand_st,0.2,1.0,100,7,7,20,17.0,563.9408080808081,0.07831253713606656,1.3313131313131314,181.85861926415873,302.0,61.2,99.0,0.0,1.0,0,0.0,1.0
33,8,rand_st,0.2,1.0,100,11,13,18,14.0,566.4209696969697,0.09642712842712842,1.3499797979797976,243.1083978558666,702.0,57.352,99.0,0.0,1.0,0,0.0,1.0
34,8,rand_st,0.2,1.0,100,8,8,16,12.0,569.3288404040404,0.11697643097643097,1.403717171717172,194.36036392405063,307.0,57.032,99.0,0.0,1.0,0,0.0,1.0
35,8,rand_st,0.2,0.96,96,11,7,18,14.0,561.8480505263158,0.09168120300751881,1.283536842105263,145.32772236076477,401.0,57.064,95.0,0.0,1.0,0,0.0,1.0
36,8,rand_st,0.2,1.0,100,10,10,17,14.0,566.9269090909091,0.09815873015873015,1.3742222222222222,183.11982705373688,308.0,58.952,99.0,0.0,1.0,0,0.0,1.0
37,8,rand_st,0.2,1.0,100,9,7,17,16.0,562.8179353535354,0.08152777777777777,1.3044444444444443,123.58055898068228,213.0,60.86,99.0,0.0,1.0,0,0.0,1.0
38,8,rand_st,0.2,0.78,78,9,9,19,13.0,564.9616311688311,0.10322477522477522,1.3419220779220782,144.64101226193583,312.0,46.672,77.0,0.0,1.0,0,0.0,1.0
39,8,rand_st,0.2,0.78,78,8,7,16,14.0,562.0207324675325,0.09205565862708721,1.2887792207792206,161.24441558441558,304.0,46.764,77.0,0.0,1.0,0,0.0,1.0
0,8,rand_dt,0.2,1.0,100,10,9,16,13.836,564.7222020202021,0.09782127502127502,1.350909090909091,221.26768796613587,501.0,62.26,99.0,0.0,1.0,0,0.0,1.0
1,8,rand_dt,0.2,0.93,93,9,9,19,16.356,562.9379652173915,0.08145639741403808,1.3309565217391306,211.05706102665786,405.0,59.552,92.0,0.0,1.0,0,0.0,1.0
2,8,rand_dt,0.2,0.97,97,9,11,17,12.616,562.6895541666668,0.10441536935286935,1.3134583333333332,179.2936457673633,407.0,59.908,96.0,0.0,1.0,0,0.0,1.0
3,8,rand_dt,0.2,0.98,98,8,9,17,14.0,562.3919463917525,0.09387039764359352,1.314185567010309,163.60199714693294,402.0,61.524,97.0,0.0,1.0,0,0.0,1.0
4,8,rand_dt,0.2,0.93,93,8,9,18,15.924,563.8616913043479,0.0842097821012463,1.337782608695652,169.68862675272646,408.0,57.924,92.0,0.0,1.0,0,0.0,1.0
5,8,rand_dt,0.2,1.0,100,7,7,16,12.892,564.2106626262627,0.10387068487068486,1.335151515151515,170.3357734540551,313.0,60.82,99.0,0.0,1.0,0,0.0,1.0
