net,sigma,scheme,p,reachable,nodes,delta_T,depth,tree_frame,frame_len,energy_uC,duty_b,radio_on,latency,latency_p95,wasted,granted,removal,service,failed,delayed,pdr
2,20,rand_dt,0.2,1.0,100,19,4,30,24.1,547.7311757575758,0.045294909431237936,1.090020202020202,61.62554157210646,201.0,71.088,99.0,0.0,1.0,0,0.0,1.0
3,20,rand_dt,0.2,1.0,100,24,4,33,28.512,545.8489939393941,0.036705845466690847,1.046060606060606,57.451482751664315,128.0,70.44,99.0,0.0,1.0,0,0.0,1.0
4,20,rand_dt,0.2,1.0,100,18,4,28,25.852,549.1934222222222,0.042969591263001226,1.1094949494949498,69.82139253279516,210.0,70.16,99.0,0.0,1.0,0,0.0,1.0
5,20,rand_dt,0.2,1.0,100,20,4,31,23.924,548.8054828282828,0.046021722523479226,1.0991111111111111,60.699479869004044,201.0,69.188,99.0,0.0,1.0,0,0.0,1.0
6,20,rand_dt,0.2,1.0,100,14,4,26,21.864,552.4355515151515,0.053453287628781695,1.1672323232323234,71.79706407458838,210.0,68.444,99.0,0.0,1.0,0,0.0,1.0
7,20,rand_dt,0.2,1.0,100,22,4,28,24.62,546.8237575757576,0.04332551385534894,1.0652121212121215,60.93630179344465,204.0,70.544,99.0,0.0,1.0,0,0.0,1.0
8,20,rand_dt,0.2,1.0,100,18,4,29,27.224,548.1654424242424,0.0405039649721642,1.1016161616161617,56.732687260246315,126.0,70.94,99.0,0.0,1.0,0,0.0,1.0
9,20,rand_dt,0.2,1.0,100,22,4,31,27.364,547.2510585858587,0.039178091445351365,1.071151515151515,58.60845405834491,127.0,69.956,99.0,0.0,1.0,0,0.0,1.0
10,20,rand_dt,0.2,1.0,100,23,3,34,32.416,545.8108202020202,0.03242490939442811,1.0507474747474748,56.898179635927185,130.0,70.976,99.0,0.0,1.0,0,0.0,1.0
11,20,rand_dt,0.2,1.0,100,15,4,28,26.128,550.2006343434344,0.04347230007398589,1.1346666666666665,69.44374747065966,206.0,70.668,99.0,0.0,1.0,0,0.0,1.0
12,20,rand_dt,0.2,1.0,100,15,3,29,25.8,550.1036363636364,0.04406053263608819,1.1354343434343437,64.92390422077922,201.0,70.592,99.0,0.0,1.0,0,0.0,1.0
13,20,rand_dt,0.2,1.0,100,23,4,32,28.54,545.5423595959596,0.03667924048353538,1.0454949494949497,54.98945627455034,127.0,71.496,99.0,0.0,1.0,0,0.0,1.0
14,20,rand_dt,0.2,1.0,100,17,4,28,25.436,549.8530545454547,0.04444517655184322,1.12989898989899,70.90344964314036,207.0,71.14,99.0,0.0,1.0,0,0.0,1.0
15,20,rand_dt,0.2,1.0,100,27,3,35,30.68,543.8510060606061,0.032861465090790604,1.0074343434343433,56.714663951120166,130.0,71.264,99.0,0.0,1.0,0,0.0,1.0
16,20,rand_dt,0.2,1.0,100,25,4,33,27.476,545.9475555555555,0.03804454364661508,1.043878787878788,57.59074225122349,129.0,69.656,99.0,0.0,1.0,0,0.0,1.0
17,20,rand_dt,0.2,1.0,100,15,4,28,23.484,550.4609494949495,0.048493871153001585,1.137979797979798,75.32836422240129,211.0,70.34,99.0,0.0,1.0,0,0.0,1.0
18,20,rand_dt,0.2,1.0,100,25,4,33,27.14,544.9814626262627,0.037986361361074,1.0298989898989899,59.202642276422765,204.0,71.04,99.0,0.0,1.0,0,0.0,1.0
19,20,rand_dt,0.2,1.0,100,20,4,30,23.752,548.1121212121213,0.04600020154571758,1.0905858585858588,67.44121287128714,209.0,70.032,99.0,0.0,1.0,0,0.0,1.0
20,20,rand_dt,0.2,1.0,100,20,4,32,26.28,547.4469979797981,0.0412748791948792,1.0833131313131312,63.15813191315035,205.0,70.752,99.0,0.0,1.0,0,0.0,1.0
21,20,rand_dt,0.2,1.0,100,23,4,31,25.892,546.4540929292931,0.04091615099247283,1.057939393939394,52.91796718687475,124.0,70.264,99.0,0.0,1.0,0,0.0,1.0
22,20,rand_dt,0.2,1.0,100,19,4,28,24.592,547.5962181818182,0.04426930846930847,1.087919191919192,62.30241935483871,124.0,71.296,99.0,0.0,1.0,0,0.0,1.0
23,20,rand_dt,0.2,1.0,100,20,4,32,23.792,548.2550626262627,0.046057547733744486,1.0936565656565655,56.413553786487036,124.0,69.728,99.0,0.0,1.0,0,0.0,1.0
24,20,rand_dt,0.2,1.0,100,18,4,26,23.312,548.9373010101011,0.04757544485085988,1.107878787878788,68.15775723472669,210.0,70.32,99.0,0.0,1.0,0,0.0,1.0
25,20,rand_dt,0.2,1.0,100,20,4,29,26.036,548.0560686868688,0.04193268800732402,1.0906262626262628,60.57199920111844,126.0,70.028,99.0,0.0,1.0,0,0.0,1.0
26,20,rand_dt,0.2,1.0,100,19,4,28,25.832,547.9147797979799,0.04227625897304058,1.0906666666666667,62.01360406091371,128.0,71.024,99.0,0.0,1.0,0,0.0,1.0
27,20,rand_dt,0.2,0.98,98,35,4,43,35.52,538.5985237113402,0.025582650040164964,0.9082886597938146,44.28486096807415,131.0,70.896,97.0,0.0,1.0,0,0.0,1.0
28,20,rand_dt,0.2,1.0,100,25,4,33,29.796,545.9851878787879,0.03502215776091041,1.0428282828282827,63.80024610336341,211.0,69.76,99.0,0.0,1.0,0,0.0,1.0
29,20,rand_dt,0.2,1.0,100,15,4,28,23.304,551.6135151515152,0.04945345163173006,1.1502626262626263,79.59959473150963,211.0,69.124,99.0,0.0,1.0,0,0.0,1.0
30,20,rand_dt,0.2,1.0,100,21,3,31,26.288,547.3126020202021,0.04106710378311911,1.0776969696969696,60.275741350906095,127.0,70.308,99.0,0.0,1.0,0,0.0,1.0
31,20,rand_dt,0.2,1.0,100,22,4,30,25.836,547.172892929293,0.04145573646730735,1.0695353535353536,63.05786802030457,207.0,70.116,99.0,0.0,1.0,0,0.0,1.0
32,20,rand_dt,0.2,1.0,100,17,4,28,24.452,549.0187757575759,0.04554027914472358,1.1127676767676766,67.68646464646464,206.55000000000018,70.836,99.0,0.0,1.0,0,0.0,1.0
33,20,rand_dt,0.2,1.0,100,22,4,28,25.788,546.4985454545455,0.04113617143747412,1.0597171717171718,64.84070616883118,208.0,71.088,99.0,0.0,1.0,0,0.0,1.0
34,20,rand_dt,0.2,1.0,100,19,4,30,27.504,549.5136646464648,0.04040625826427335,1.1095757575757574,64.74841017488076,203.0,69.152,99.0,0.0,1.0,0,0.0,1.0
35,20,rand_dt,0.2,1.0,100,20,4,31,27.148,547.6723676767677,0.03994641359775459,1.0842424242424245,60.00619133213501,126.0,70.66,99.0,0.0,1.0,0,0.0,1.0
36,20,rand_dt,0.2,1.0,100,19,4,31,25.988,548.3308686868687,0.04232642011599866,1.0977777777777777,59.32939016928411,126.0,70.32,99.0,0.0,1.0,0,0.0,1.0
37,20,rand_dt,0.2,1.0,100,22,3,32,25.672,546.4214464646465,0.04144026652785274,1.0625454545454545,56.95777823324452,126.0,70.808,99.0,0.0,1.0,0,0.0,1.0
38,20,rand_dt,0.2,1.0,100,28,4,36,29.588,542.1207757575759,0.033226919741064245,0.9816565656565657,51.420553033429634,128.0,72.816,99.0,0.0,1.0,0,0.0,1.0
39,20,rand_dt,0.2,1.0,100,29,4,38,31.596,542.8409212121214,0.03128071795026254,0.9875555555555556,51.05058444175736,128.0,71.232,99.0,0.0,1.0,0,0.0,1.0
0,20,static,0.2,1.0,100,20,4,30,30.0,548.9093656565658,0.036619528619528614,1.0985858585858586,25.428571428571427,29.0,69.24,99.0,0.0,1.0,0,0.0,1.0
1,20,static,0.2,1.0,100,24,4,33,33.0,546.1784161616163,0.031860422405876956,1.0513939393939395,26.536541889483065,33.0,69.912,99.0,0.0,1.0,0,0.0,1.0
2,20,static,0.2,1.0,100,19,4,30,30.0,549.0958101010102,0.03691717171717171,1.1075151515151516,22.876972238865587,30.0,69.356,99.0,0.0,1.0,0,0.0,1.0
3,20,static,0.2,1.0,100,24,4,33,33.0,546.6760161616162,0.03202203856749311,1.0567272727272727,26.39706465688219,33.0,69.384,99.0,0.0,1.0,0,0.0,1.0
4,20,static,0.2,1.0,100,18,4,28,28.0,549.5335595959597,0.03980663780663781,1.1145858585858586,22.86479332111586,28.0,69.656,99.0,0.0,1.0,0,0.0,1.0
5,20,static,0.2,1.0,100,20,4,31,31.0,548.2021818181819,0.03526360377973281,1.0931717171717172,25.53927125506073,31.0,69.776,99.0,0.0,1.0,0,0.0,1.0
6,20,static,0.2,1.0,100,14,4,26,26.0,552.6134343434344,0.04502719502719504,1.1707070707070706,21.73988322931347,26.0,68.1,99.0,0.0,1.0,0,0.0,1.0
7,20,static,0.2,1.0,100,22,4,28,28.0,547.4630626262626,0.038357864357864355,1.074020202020202,21.98971405060687,28.0,69.672,99.0,0.0,1.0,0,0.0,1.0
8,20,static,0.2,1.0,100,18,4,29,29.0,548.238202020202,0.03807035876001394,1.1040404040404042,22.916496945010184,29.0,70.7,99.0,0.0,1.0,0,0.0,1.0
9,20,static,0.2,1.0,100,22,4,31,31.0,547.6813333333334,0.03475268817204301,1.0773333333333333,25.569154228855723,31.0,69.344,99.0,0.0,1.0,0,0.0,1.0
10,20,static,0.2,1.0,100,23,3,34,34.0,546.0336404040405,0.030999405822935235,1.053979797979798,25.570212765957447,34.0,70.656,99.0,0.0,1.0,0,0.0,1.0
11,20,static,0.2,1.0,100,15,4,28,28.0,550.6912727272728,0.04075901875901876,1.1412525252525252,22.017893452623017,28.0,70.016,99.0,0.0,1.0,0,0.0,1.0
12,20,static,0.2,1.0,100,15,3,29,29.0,551.0214747474748,0.03956391501219088,1.1473535353535353,24.07232070910556,28.0,69.412,99.0,0.0,1.0,0,0.0,1.0
13,20,static,0.2,1.0,100,23,4,32,32.0,545.770888888889,0.032804292929292926,1.0497373737373736,26.134294068504595,32.0,71.076,99.0,0.0,1.0,0,0.0,1.0
14,20,static,0.2,1.0,100,17,4,28,28.0,550.5588282828285,0.040663780663780666,1.1385858585858586,20.921491658488716,28.0,70.28,99.0,0.0,1.0,0,0.0,1.0
15,20,static,0.2,1.0,100,27,3,35,35.0,544.6076282828284,0.029088600288600285,1.0181010101010102,28.056236192006427,35.0,70.208,99.0,0.0,1.0,0,0.0,1.0
